"Section","Chapter","Role","Name","Institution, Country"
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Lead Author","David Wallace ","OECD, France "
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Contributing Author","Richard J.T. Klein ","Potsdam Institute for Climate Impact Research (PIK), Germany "
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Review Editor","Karen R. Polenske ","Massachusetts Institute for Technology, USA "
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Coordinating Lead Author","Mark Mansley ","Claros Consulting, United Kingdom "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Coordinating Lead Author","Eric Martinot ","The World Bank, USA "
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Lead Author","Dilip Ahuja ","Global Environment Facility Secretariat, USA "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Lead Author","Weerawat Chantanakome ","Thailand Research Fund (TRF), Thailand "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Lead Author","Stephen Decanio ","University of California, USA "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Lead Author","Michael Grubb ","Imperial College, United Kingdom "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Lead Author","Joyeeta Gupta ","Institute for Environmental Studies, The Netherlands "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Lead Author","Li Junfeng ","Energy Research Institute, China "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Lead Author","Merylyne McKenzie Hedger ","University of Oxford, United Kingdom "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Lead Author","Charles Mehl ","______, Thailand"
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Lead Author","Bhaskhar Natarajan ","India-Canada Environment Facility (ICEF), India "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Lead Author","John Turkson ","UNEP Collaborating Centre on Energy and Environment, Denmark "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Lead Author","David Wallace ","OECD, France "
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Contributing Author","Ron Benioff ","National Renewable Energy Laboratory, USA "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Contributing Author","Ibrahim Abdel Gelil ","Egyptian Environmental Affairs Agency (EEAA), Egypt "
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 5: Financing and Partnerships for Technology Transfer","Review Editor","Karen R. Polenske ","Massachusetts Institute for Technology, USA "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis",,"Section Coordinator","Jayant Sathaye  ","Lawrence Berkeley National Laboratory, USA "
"Section II: Technology Transfer: A Sectoral Analysis",,"Section Coordinator","Youba Sokona ","ENDA TM - Programme Energie, Senegal "
"Section II: Technology Transfer: A Sectoral Analysis",,"Section Coordinator","Ogunlade Davidson ","Co-chair of IPCC Working Group III, Sierra Leone "
"Section II: Technology Transfer: A Sectoral Analysis",,"Section Coordinator","William Chandler Battelle ","Pacific Northwest National Laboratory, USA "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 6: Introduction to Section II","Coordinating Lead Author","Jayant Sathaye  ","Lawrence Berkeley National Laboratory, USA "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 6: Introduction to Section II","Lead Author","William Chandler Battelle ","Pacific Northwest National Laboratory, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 6: Introduction to Section II","Lead Author","John Christensen ","UNEP Collaborating Centre on Energy and Environment, Denmark "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 6: Introduction to Section II","Lead Author","Ogunlade Davidson ","Co-chair of IPCC Working Group III, Sierra Leone "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 6: Introduction to Section II","Lead Author","Youba Sokona ","ENDA TM - Programme Energie, Senegal "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Coordinating Lead Author","John Millhone ","U.S. Department of Energy , USA "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Lead Author","Odon de Buen R. ","Comision Nacional Para el Ahorro de Energía, Mexico "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Lead Author","Gautam Dutt ","Dirección de Uso Racional de Energía, Argentina "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Lead Author","Tom Otiti ","Makerere University, Uganda"
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Lead Author","Yuri Tabunschikov ","ABOK, Russia "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Lead Author","Tu Fengxiang ","Energy Efficiency Association, China "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Lead Author","Mark Zimmermann ","EMPA-KWH, Switzerland "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Contributing Author","Marilyn Brown ","Oak Ridge National Laboratory, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Contributing Author","Jim Crawford ","The Trane Company, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Contributing Author","Howard Geller ","American Council for an Energy Efficient Economy, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Contributing Author","Joe Huang  ","Lawrence Berkeley National Laboratory, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Contributing Author","Martin Liddament ","Oscar Faber Group, United Kingdom "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Contributing Author","Eric Martinot ","The World Bank, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Contributing Author","John Novak ","Edison Electric Institute EEI, USA "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 7: Residential, Commercial, and Institutional Buildings Sector","Review Editor","Ewaryst Hille ","Polish Foundation for Energy Efficiency , Poland "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 8: Transportation","Coordinating Lead Author","Ogunlade Davidson ","Co-chair of IPCC Working Group III, Sierra Leone "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 8: Transportation","Lead Author","Oyuko Mbeche ","University of Nairobi, Kenya "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 8: Transportation","Lead Author","Laurie Michaelis ","Mansfield College, United Kingdom "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 8: Transportation","Lead Author","Lee Schipper ","International Energy Agency, France "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 8: Transportation","Lead Author","Suzana Kahn Ribeiro ","Suzana Kahn Ribeiro "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 8: Transportation","Lead Author","Romeo Pacudan ","Asian Institute of Technology, Thailand "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 8: Transportation","Lead Author","Michael P. Walsh ","International Consultant , USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 8: Transportation","Lead Author","Yang Honghian ","Institute of Comprehensive Transportation, China "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 8: Transportation","Review Editor","Lars Sjöstedt ","Chalmers University of Technology, Sweden "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 9: Industry","Coordinating Lead Author","Ernst Worrell ","Lawrence Berkeley National Laboratory, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 9: Industry","Coordinating Lead Author","Mark Levine ","Lawrence Berkeley National Laboratory, USA "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 9: Industry","Lead Author","Rene van Berkel ","John Curtin International Institute , Australia "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 9: Industry","Lead Author","Zhou Fengqi ","Energy Research Institute, China"
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 9: Industry","Lead Author","Christoph Menke ","University of Applied Sciences Trier, Germany "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 9: Industry","Lead Author","Roberto Schaeffer ","Federal University of Rio de Janeiro, Brazil "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 9: Industry","Lead Author","Robert O. Williams ","United Nations Industrial Development Organization, Austria "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 9: Industry","Contributing Author","Sanghoon Joo ","Research Institute of Industrial Science & Technology, South Korea "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 9: Industry","Contributing Author","Xiulian Hu ","Energy Research Institute, China "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 9: Industry","Review Editor","Prosanto Pal Tata ","Energy Research Institute , India "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 9: Industry","Review Editor","Doug McKay ","Shell International Ltd., United Kingdom"
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 10: Energy Supply","Coordinating Lead Author","Jose Roberto Moreira ","Biomass Users Network (BUN), Brazil "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 10: Energy Supply","Lead Author","Jos Bruggink ","Netherlands Energy Research Foundation, The Netherlands "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 10: Energy Supply","Lead Author","Hisashi Ishitani ","University of Tokyo, Japan "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 10: Energy Supply","Lead Author","P.R. Shukla ","Indian Institute of Management, India "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 10: Energy Supply","Lead Author","Katia J. Simeonova ","UNFCCC, Germany "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 10: Energy Supply","Lead Author","John J. Wise ","______, USA"
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 10: Energy Supply","Contributing Author","Youba Sokona ","ENDA TM - Programme Energie, Senegal "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 10: Energy Supply","Contributing Author","Helena Li Chum ","National Renewable Energy Laboratory, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 10: Energy Supply","Contributing Author","Eric Martinot ","The World Bank, USA "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 10: Energy Supply","Review Editor","R.S. Agarwal","Indian Institute of Technology, India "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 10: Energy Supply","Review Editor","Steven Bernow ","Tellus Institute , USA "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Coordinating Lead Author","Lin Erda ","Agrometeorology Institute, China "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Lead Author","Carlos Clemente Cerri ","Centro de Energia Nuclear na Agricultura, Brazil "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Lead Author","George Frisvold ","University of Arizona, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Lead Author","Katsuyuki Minami ","National Institute of Agro-Environmental Sciences, Japan "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Lead Author","Otto Doering ","Purdue University, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Lead Author","Neil Sampson ","The Sampson Group Inc., USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Lead Author","Paul Waggoner ","The Connecticut Agricultural Experiment Station (CAES), USA "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Contributing Author","Don Plucknet ","Agricultural Research and Development International, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Contributing Author","Heinz Ulrich ","Neue UFZ-Centre for Environmental Research, Germany "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Contributing Author","Karim Makarim ","Institut Pertanian Bogor, Indonesia "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Contributing Author","Kenneth Hubbard ","University of Nebraska , USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Contributing Author","Li Jiusheng ","Chinese Academy of Agricultural Sciences, China "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Contributing Author","Li Yu'e ","Chinese Academy of Agricultural Sciences, China "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Contributing Author","Vernon Ruttan ","University of Minnesota , USA "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 11: Agricultural Sector","Review Editor","Walter Baethgen ","IFDC, Uruguay "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 12: Forestry Sector","Coordinating Lead Author","N.H. Ravindranath ","Indian Institute of Science, India "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 12: Forestry Sector","Lead Author","Philip M. Fearnside ","Instituto Nacional de Pesquisas da Amazonia, Brazil"
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 12: Forestry Sector","Lead Author","Willy Makundi ","Lawrence Berkeley National Laboratory, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 12: Forestry Sector","Lead Author","Omar Masera ","Departamento de Ecologia de los Recursos Naturales, Mexico "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 12: Forestry Sector","Lead Author","Robert Dixon ","US Country Studies Program, USA "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 12: Forestry Sector","Contributing Author","Kenneth Andrasko ","Environmental Protection Agency, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 12: Forestry Sector","Contributing Author","Neil Byron ","CIFOR (Centre for International Forestry Research), Indonesia "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 12: Forestry Sector","Contributing Author","Antony DiNicola ","Counterpart International, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 12: Forestry Sector","Contributing Author","Nandita Mongia ","Global Environment Facility GEF, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 12: Forestry Sector","Contributing Author","P. Sudha ","Indian Institute of Science, India "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 12: Forestry Sector","Review Editor","David Hall ","King's College, United Kingdom "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 13: Solid Waste Management and Wastewater Treatment ","Coordinating Lead Author","Dina Kruger ","Atmospheric and Pollution Prevention Division, USA "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 13: Solid Waste Management and Wastewater Treatment ","Lead Author","Tom Beer ","CSIRO Environmental Risk Network, Australia "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 13: Solid Waste Management and Wastewater Treatment ","Lead Author","Ron Wainberg ","CRC for Waste Management and Pollution Control, Australia "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 13: Solid Waste Management and Wastewater Treatment ","Lead Author","Xu Huaqing ","Center for Energy Environment and Climate Change Research, China "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 13: Solid Waste Management and Wastewater Treatment ","Review Editor","Carlos Pereyra ","ERM Argentina S.A., Argentina "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Coordinating Lead Author","Anthony McMichael ","London School of Hygiene & Tropical Medicine, United Kingdom "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Lead Author","Ulisses Confalonieri ","School of Public Health - Flocruz, Brazil "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Lead Author","Andrew Githeko ","Kenya Medical Research Institute, Kenya "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Lead Author","Pim Martens ","International Centre for Integrative Studies, The Netherlands "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Lead Author","Sari Kovats ","London School of Hygiene & Tropical Medicine, United Kingdom "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Lead Author","Jonathan Patz ","Johns Hopkins School of Public Health, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Lead Author","Alistair Woodward ","Wellington School of Medicine, New Zealand "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Lead Author","Andrew Haines ","Royal Free Hospital Medical School, United Kingdom "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Lead Author","Akihiko Sasaki ","National Institute of Public Health, Japan "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Contributing Author","Gregg Greenough ","Johns Hopkins School of Hygiene & Public Health, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Contributing Author","Simon Hales ","Wellington School of Medicine, New Zealand "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Contributing Author","Larry Kalkstein ","University of Delaware, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Contributing Author","Pete Kolsky ","Associate Director WELL Resource Centre in Water, United Kingdom "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Contributing Author","Len Lerer ","INSEAD, France "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Contributing Author","Rudi Slooff ","retired, France "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Contributing Author","Kirk Smith ","London School of Hygiene and Tropical Medicine , United Kingdom "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 14: Human Health","Review Editor","Tord Kjellstrom ","The University of Auckland, New Zealand "
,,,,
