"Country","Name","Institution"
"Mexico","Omar Masera","Universidad Nacional Autonoma de Mexico"
"Mexico","Maria Villers -Ruiz","Instituto de Geografia"
,,
"New Zealand","Stuart Calman","Ministry for the Environment"
"New Zealand","Justin Ford-Robertson","Forest Research Institute"
"New Zealand","Piers Maclaren","Forest Research Institute"
"New Zealand","Martin Manning","National Institute of Water and Atmospheric Research"
"New Zealand","Helen Plume","Ministry for the Environment"
"New Zealand","Peter L. Read","Massey University"
"New Zealand","Neal Scott","Landcare Research"
"New Zealand","Ralph Sims","Massey University"
"New Zealand","Peter Sligh","Forest Industries Council"
,,
"Norway","Nils Bohn","Norwegian Forest Owners Federation"
"Norway","Georg Borsting","Ministry of the Environment"
"Norway","Tore Braend","Norwegian Society of the Conservation of Nature"
"Norway","Oyvind Christophersen ","Ministry of Environment"
"Norway","Birger Solberg","Institute of Forest Sciences, Agricultural University"
,,
"Peru ","Eduardo Calvo","Comision Nacional de Cambio Climatico"
"Peru ","Paul Remy"," "
,,
"Philipines","Rodel D. Lasco","University of Philippines"
"Philipines","Wojciech Galinski","Silvatica-Research Consultants"
"Philipines","Lech Ryszkowski","Polish Academy of Sciences"
,,
"Russia","Yuri Izrael","Institute of Global Climate and Ecology"
"Russia","Alexey Kokorin","Institute of Global Climate and Ecology"
"Russia","Serguei Semenov","Institute of Global Climate & Ecology"
," "," "
"Samoa","H.E.T. Neroni Slade","Permanent Mission of Samoa to the UN"
,,
"Senegal","Youba Sokona","ENDA -TM"
,,
"South Africa","R.O. Barnard","Agricultural Research Council: Institute for Soil, Climate and Water"
"South Africa","Gerrie Coetzee","Department of Environmental Affairs and Tourism"
"South Africa","P.J. Maritz","Directorate Agricultural Water Use Management"
"South Africa","D.J. Pretorius","National Department of Agriculture"
"South Africa","Robert J. Scholes","CSIR"
"South Africa","A.T. van Coller","Directorate Agricultural Water Use Management"
"South Africa","D.W. Van der Zel","Department of Water Affairs and Forestry (Retired)"
,,
"Spain ","A. Labajo","Instituto Nacional de Meteorologia"
"Spain ","Gerardo Sanchez Pena","DGCN"
"Spain ","Josep Penuelas","Center for Ecological Research and Forestry Applications"
,,
"Sweden ","Bert Bolin","University of Stockholm (retired)"
"Sweden ","Bengt Bostrom","Swedish National Energy Administration"
"Sweden ","Sune Linder","University of Agricultural Sciences"
"Sweden ","I. Colin Prentice"," "
"Sweden ","Will Steffen","IGBP Secretariat"
"Sweden ","Anders Turesson","Ministry of the Environment "
,,
"Switzerland","Andreas Fischlin","Terrestrial Systems Ecology ETHZ"
"Switzerland","Fortunat Joos","University of Bern"
"Switzerland","Jose Romero","Office Federal de l'Environnement"
,,
"Tanzania","Willy R. Makundi","Lawrence Berkeley National Laboratory"
"Tanzania","Stephen Mwakifwamba","Center for Energy, Environment, Science and Technology"
,,
"Thailand","Kansri Boonpragob","Ramkhamhaeng University"
"Thailand","Sitanon Jesdapipat","Thailand Environment Institute"
"Thailand","Nipon Tangtham","Kasetsart University"
"Thailand","Vute Wangwacharakul","Kasetsart University"
,,
"The Netherlands","R. Aerts","Vrije Universiteit"
"The Netherlands","W.L. Hare","Greenpeace International"
"The Netherlands","Peter Kuikman","DLO-Research Institute for Agrobiology & Soil Fertility (AB-DLO)"
"The Netherlands","Richard Sikkema","FORM Ecology"
"The Netherlands","Wim Sombroek","ISRIC"
"The Netherlands","Andre van Amstel","Wageningen University"
"The Netherlands","J. Verbeek","Ministry of Transport, Public Works and Water Management"
,,
"Trinidad","Floyd Homer","Ministry of Natural Resources"
,,
"United Kingdom","Jonathan M. Anderson","University of Exeter"
"United Kingdom","Mark Broadmeadow","GB Forestry Commission Research Agency"
"United Kingdom","Melvin G. R. Cannell","Institute of Terrestrial Ecology"
"United Kingdom","Sam Evans","GB Forestry Commission Research Agency"
"United Kingdom","Paul Jarvis","Edinburgh University"
"United Kingdom","Gerald Adrian Leach","Stockholm Environment Institute"
"United Kingdom","Bo Lim","United Nations Development Programme"
"United Kingdom","Larry Lohmann","The Corner House"
"United Kingdom","Robert Matthews","GB Forestry Commission Research Agency"
"United Kingdom","M. McKenzie Hedger","University of Oxford"
"United Kingdom","Ronald Milne","Institute of Terrestrial Ecology"
"United Kingdom","Pedro Moura-Costa","Eco Securities"
"United Kingdom","J.M. Penman","Department of the Environment, Transport and the Regions"
"United Kingdom","Gareth Phillips","SGS Forestry"
"United Kingdom","Michelle A. Pinard","University of Aberdeen"
"United Kingdom","Keith A. Smith","SAC Edinburgh"
"United Kingdom","Peter Smith","IACR-Rothamsted"
"United Kingdom","Richard Tipper","IERM - University of Edinburgh"
"United Kingdom","David Warrilow","Department of the Environment, Transport and the Regions"
"United Kingdom","Andrew Whitmore","Silsoe Research Institute"
,,
"USA","Ralph Alig","U.S. Department of Agriculture"
"USA","Margot Anderson","U.S. Department of Energy"
"USA","Mike Anderson","U.S. Department of Agriculture"
"USA","Kenneth Andrasko","U.S. Environmental Protection Agency"
"USA","Dan Balzer","U.S. Department of State"
"USA","Wiley Barbour","U.S. Environmental Protection Agency"
"USA","Jeri Berc","U.S. Department of Agriculture"
"USA","Richard Birdsey","U.S. Forest Service"
"USA","Evan Bloom","U.S. Department of State"
"USA","Janine Bloomfield","Environmental Defense Fund"
"USA","Robert Bonnie","Environmental Defense Fund"
"USA","Barbara Braatz","ICF Consulting"
"USA","William Breed","U.S. Department of Energy"
"USA","Jean Brennan","USAID"
"USA","Sandra Brown ","Winrock International"
"USA","Paige Brown","Redefining Progress"
"USA","Michael Buck","Hawaii Division of Forestry and Wildlife"
"USA","Marilyn Buford","U.S. Department of Agriculture"
"USA","Jay Chamberlin","The Pacific Forest Trust"
"USA","Roger Dahlman","U.S. Department of Energy"
"USA","David Darr","U.S. Department of Agriculture"
"USA","Ben DeAngelo","U.S. Environmental Protection Agency"
"USA","Lisa Dilling","NOAA Office of Global Programs"
"USA","Craig Ditzler","U.S. Department of Agriculture"
"USA","P. Doskey","Argonne National Laboratory"
"USA","Jim DuBay","UtiliTree Carbon Company"
"USA","Mitchell Dubensky","American Forests and Paper Association"
"USA","Jerry Elwood","U.S. Department of Energy"
"USA","Lauren Flejzor","U.S. Department of State"
"USA","Alan J. Franzluebbers","U.S. Department of Agriculture"
"USA","Peter Frumhoff","Union of Concerned Scientists"
"USA","Charles T. Garten, Jr.","Oak Ridge National Laboratory"
"USA","Noel Gerson","Department of the Interior"
"USA","Donald Goldberg","American University"
"USA","Anne Grambsch","U.S. Environmental Protection Agency"
"USA","Kevin Green","U.S. Department of Transportation"
"USA","Daniel Hall","American Lands"
"USA","Steven Hamburg ","Brown University"
"USA","Richard R. Harwood","Michigan State University"
"USA","Linda Heath","U.S. Department of Agriculture"
"USA","John Hickman","Deere & Company Technical Center"
"USA","Peter Hill","Monsanto Company"
"USA","Bill Hohemstein","U.S. Environmental Protection Agency"
"USA","Tom Houghtaling","UtiliTree Carbon Company"
"USA","Richard Houghton","Woods Hole Research Center"
"USA","Robert House","U.S. Department of Agriculture"
"USA","Jim Hrubovcak","U.S. Department of Agriculture"
"USA","Tony Janetos","World Resources Institute"
"USA","Julie D. Jastrow","Argonne National Laboratory"
"USA","Michael Jawsin","U.S. Department of Agriculture"
"USA","Carol Jones","U.S. Department of Agriculture"
"USA","Gary Kaster","UtiliTree Carbon Company"
"USA","Holly Kaufman","U.S. Department of State"
"USA","Haroon Kheshgi","Exxon Research and Engineering Company"
"USA","John Kimble","U.S. Department of Agriculture"
"USA","Anthony W. King","Oak Ridge National Laboratory"
"USA","John Kinsman","UtiliTree Carbon Company"
"USA","Anne Kinzig","Arizona State University"
"USA","Rattan Lal","Ohio State University"
"USA","Daniel Lashof","Natural Resources Defense Council"
"USA","Eugene Lee","U.S. Environmental Protection Agency"
"USA","Catherine Leining","Center for Clean Air Policy"
"USA","Jan Lewandrowski","U.S. Department of Agriculture"
"USA","H. Gyde Lund","Forest Information Services"
"USA","Kenneth MacDicken","Center for International Forestry Research"
"USA","William Mankin","Global Forest Policy Project"
"USA","Gregg Marland","Oak Ridge National Laboratory"
"USA","M. Mausbach","U.S. Department of Agriculture"
"USA","John McCarty","U.S. Environmental Protection Agency"
"USA","Stephanie Mercier","Senate Agriculture Committee"
"USA","Mike Miller","Argonne National Laboratory"
"USA","N.L. Miller","Department of Energy-Lawrence Berkeley National Laboratory"
"USA","Jeff Miotke","U.S. Department of State"
"USA","Robert A. Monserud","U.S. Department of Agriculture"
"USA","Jennifer Morgan","World Wildlife Fund"
"USA","Adele Morris","U.S. Department of the Treasury"
"USA","Brian C. Murray","Research Triangle Institute"
"USA","Tia Nelson","The Nature Conservancy"
"USA","John O. Niles","Stanford University"
"USA","Richard Norby","Oak Ridge National Laboratory"
"USA","Marc Orlic","U.S. Environmental Protection Agency"
"USA","Keith Paustian","Colorado State University"
"USA","Dave Peters","U.S. Department of Defense"
"USA","Annie Petsonk","Environmental Defense Fund"
"USA","W.M. Post","Oak Ridge National Laboratory"
"USA","Ray Prince","U.S. Department of Energy"
"USA","Stephen P. Prisley","Virginia Polytechnic University"
"USA","Ed Rall","U.S. Department of Agriculture"
"USA","Donald C. Reicosky","U.S. Department of Agriculture"
"USA","Gregory Ruark","U.S. Department of Agriculture"
"USA","Marc Safley","U.S. Department of Agriculture"
"USA","Neil Sampson","American Forests"
"USA","Jayant Sathaye","Lawrence Berkeley National Laboratory"
"USA","David L. Schertz","U.S. Department of Agriculture"
"USA","William H. Schlesinger","Duke University"
"USA","Jonathan Scurlock","Oak Ridge National Laboratory"
"USA","Stephan Schwartzman","Environmental Defense Fund"
"USA","Karn Deo Singh","Harvard University"
"USA","Kenneth Skog","U.S. Department of Agriculture"
"USA","David Skole","Michigan State University"
"USA","Gordon Smith","Environmental Defense Fund"
"USA","Jeffrey L. Smith","U.S. Department of Agriculture"
"USA","Allen M. Solomon","Office of Science and Technology Policy"
"USA","Susan Subak","Natural Resources Defense Council"
"USA","Jeremy Symons","U.S. Environmental Protection Agency"
"USA","Dennis Thompson","U.S. Department of Agriculture"
"USA","Mark Trexler","Trexler and Associates"
"USA","Susan Trumbore","University of California, Irvine"
"USA","Edward Vine","Lawrence Berkeley National Laboratory"
"USA","Rik Wanninkhof","NOAA"
"USA","Laurie Wayburn","The Pacific Forest Trust"
"USA","Larry Weber","Office of Science and Technology Policy"
"USA","Darrell C. West","Oak Ridge National Laboratory"
"USA","Tristram West","Oak Ridge National Laboratory"
"USA","Diane Wickland","National Aeronautics and Space Administration"
"USA","Tom Wirth","U.S. Environmental Protection Agency"
"USA","Anny Wong","Global Forest Policy Project"
"USA","Stan Wullschleger","Oak Ridge National Laboratory"
,,
"Yugoslavia","Stanimir C. Kostadinov","Belgrade University"
