Country,"Name, Institution"
Belgium,"Cathy Clerbaux, Universite Libre de Bruxelles and CNRS France"
Belgium,"Luc Feyen, Joint Research Centre, European Commission"
Belgium,"Leen Gorissen, VITO – Flemish Institute for Technological Research"
Belgium,"Julien Hoyaux, Agence Wallonne de l’Air et du Climat"
Belgium,"Philippe Marbaix, Université Catholique de Louvain"
Belgium,"Anne Mouchet, Universite de Liege"
Belgium,"Andrea Tilche, European Commission Directorate"
Belgium,"Hans van de Vyvere, Royal Meteorological Institute of Belgium"
Belgium,"Jean-Pascal van Ypersele, Université Catholique de Louvain"
Belgium,"Martine Vanderstraeten, Belgian Federal Science Policy"
Belgium,"Patrick Willems, Katholieke Universiteit Leuven"
,
Botswana,"Pauline Dube, University of Botswana"
,
Brazil,"Andre Odenbreit Carvalho, Environmental Policy and Sustainable Development"
Brazil,"Jose Marengo, National Institute for Space Research, Earth System Science Centre"
Brazil,"Jose Domingos Gonzales Miguez, Tecnologia Commission for Global Climate Change"
Brazil,"Carlos Nobre, Ministry of Science and Technology"
Brazil,"Vinicius Rocha, Operador Nacional do Sistema Elétrico"
Brazil,"Maria Assuncao Silva Dias, University of Sao Paulo"
,
Canada,"Heather Auld, Environment Canada"
Canada,"Anik Beaudoin, Foreign Affairs and International Trade Canada"
Canada,"Peter Berry, Climate Change and Health Office, Health Canada"
Canada,"Marie Boehm, Agriculture and Agri-Food Canada"
Canada,"Roy Brooke, United Nations"
Canada,"Ross Brown, Environment Canada at Ouranos"
Canada,"Stephen Burridge, Foreign Affairs and International Trade Canada"
Canada,"Ian Burton, University of Toronto"
Canada,"Elizabeth Bush, Environment Canada"
Canada,"John Clague, Simon Fraser University"
Canada,"J. Graham Cogley, Trent University"
Canada,"Neil Comer, Environment Canada"
Canada,"John Cooper, Health Canada"
Canada,"Thea Dickinson, Burton Dickinson Consulting"
Canada,"Karen Dodds, Environment Canada"
Canada,"Jimena Eyzaguirre, National Round Table on the Environment and the Economy"
Canada,"Donald Forbes, Natural Resources Canada"
Canada,"Jim Frehs, Health Canada"
Canada,"Nathan P. Gillett, Environment Canada"
Canada,"Sunling Gong, Environment Canada"
Canada,"Christian Gour, Foreign Affairs and International Trade Canada"
Canada,"Patrick Hebert, Foreign Affairs and International Trade Canada"
Canada,"Ole Hendrickson, Environment Canada"
Canada,"Matt Jones, Environment Canada"
Canada,"Dan Jutzi, Environment Canada"
Canada,"Viatcheslav V. Kharin, Environment Canada"
Canada,"Grace Koshida, Environment Canada"
Canada,"Paul Kovacs, Institute for Catastrophic Loss Reduction"
Canada,"Beth Lavender, Foreign Affairs and International Trade Canada"
Canada,"Donald Lemmen, Natural Resources Canada"
Canada,"Guilong Li, Environment Canada"
Canada,"Brad Little, Environment Canada"
Canada,"John Loder, Fisheries and Oceans Canada"
Canada,"Heather Low, Foreign Affairs and International Trade Canada"
Canada,"Katie Lundy, Environment Canada"
Canada,"Gordon McBean, Institute for Catastrophic Loss Reduction"
Canada,"Brian Mills, Environment Canada"
Canada,"Seung-Ki Min, Environment Canada"
,
Canada,"Monirul Mirza, Environment Canada"
Canada,"Niall O’Dea, Natural Resources Canada"
Canada,"Michael Ott, Fisheries and Oceans Canada"
Canada,"William Perrie, Fisheries and Oceans Canada"
Canada,"Paul Pestieau, Environment Canada"
Canada,"Caroline Rodgers, Clean Air Partnership, Toronto"
Canada,"Slobodan Simonovic, University of Western Ontario"
Canada,"Sharon Smith, Natural Resources Canada"
Canada,"Ronald Stewart, University of Manitoba"
Canada,"John Stone, Carleton University"
Canada,"Roger B. Street, UK Climate Impacts Programme"
Canada,"Kit Szeto, Environment Canada"
Canada,"Richard Tarasofsky, Foreign Affairs and International Trade Canada"
Canada,"Martin Tremblay, Indian and Northern Affairs Canada"
Canada,"Liette Vasseur, Brock University"
Canada,"Elizabeth Walsh, Natural Resources Canada"
Canada,"Xiaolan Wang, Environment Canada"
Canada,"Bin Yu, Environment Canada"
Canada,"Xuebin Zhang, Environment Canada"
Canada,"Francis Zwiers, Pacific Climate Impacts Consortium, University of Victoria"
,
Chile,"Paulina Aldunce, University of Chile"
Chile,"Daniel Barrera, Ministry of Agriculture"
Chile,"Gonzalo Leon, Ministry of Environment"
Chile,"Alejandro León, Universidad de Chile"
Chile,"Sebastian Vicuna, Pontificia Universidad Catolica de Chile"
,
China,"Xing Chen, Nanjing University"
China,"Ying Chen, Chinese Academy of Social Sciences"
China,"Qin Dahe, China Meteorological Administration"
China,"Shibo Fang, Chinese Academy of Meteorological Sciences"
China,"Qiang Feng, Chinese Academy of Sciences"
China,"Ge Gao, National Climate Center, China Meteorological Administration"
China,"Daoyi Gong, State Key Laboratory of Earth Surface Processes and Resource Ecology"
China,"Anhong Guo, Agrometeorological Center of National Meteorological Centre"
China,"Tong Jiang, China Meteorological Administration"
China,"Jianping Li, Institute of Atmospheric Physics, Chinese Academy of Sciences"
China,"Jing Li, Beijing Normal University"
China,"Ning Li, Beijing Normal University"
China,"Erda Lin, Chinese Academy of Agricultural Sciences"
China,"Hongbin Liu, China Meteorological Administration"
China,"Xinhua Liu, Severe Weather Prediction Center of National Meteorological Center"
China,"Houquan Lu, National Meteorological Center"
China,"Xianfu Lu, United Nations Framework Convention on Climate Change"
China,"Yali Luo, Chinese Academy of Sciences"
China,"Wenjun Ma, Shanghai Jiao Tong University"
China,"Huixin Meng, Institute for Urban and Environment Studies"
China,"Jiahua Pan, Chinese Academy of Social Sciences"
China,"Gubo Qi, College of Humanities and Development Studies"
China,"Fumin Ren, China Meteorological Administration"
China,"Guoyu Ren, Chinese Academy of Social Sciences"
China,"WU Shaohong, Institute of Geographical Sciences, Chinese Academy of Sciences"
China,"Shangbai Shi, Chinese Academy of Social Sciences"
China,"Ying Sun, China Meteorological Administration"
China,"Changke Wang, China Meteorological Administration"
China,"Dongming Wang, Policy Study"
China,"Jianwu Wang, Chinese Academy of Social Sciences"
China,"Ming Wang, Academy of Disaster Reduction and Emergency Management"
China,"Xiaoyi Wang, Institute of Sociology"
China,"Yongguang Wang, China Meteorological Administration"
China,"Fengying Wei, China Meteorological Administration"
,
China,"Jet-Chau Wen, National Yunlin University of Science and Technology"
China,"Xiangyang Wu, Research Centre for Sustainable Development"
China,"Liyong Xie, Shenyang Agricultural University"
China,"Wei Xu, State Key Laboratory of Earth Surface Processes and Resource Ecology"
China,"Yinlong Xu, Chinese Academy of Agricultural Sciences"
China,"Zheng Yan, Institute of Urban and Environmental Studies"
China,"Saini Yang, Beijing Normal University"
China,"Tao Ye, State Key Lab of Earth Surface Processes and Resource Ecology"
China,"Yi Yuan, National Disaster Reduction Center of China"
China,"Yin Yunhe, Institute of Geographical Sciences, Chinese Academy of Sciences"
China,"Panmao Zhai, Chinese Academy of Meteorological Sciences"
China,"Chenyi Zhang, China Meteorological Administration"
China,"Zhao Zhang, State Key Laboratory of Earth Surface Processes and Resource Ecology"
China,"Zong-Ci Zhao, National Climate Center"
China,"Guangsheng Zhou, China Meteorological Administration"
China,"Hongjian Zhou, Nationals Disaster Reduction Center of China"
China,"Tao Zhou, State Key Laboratory of Earth Surface Processes and Resource Ecology"
China,"Tianjun Zhou, Chinese Academy of Sciences, Institute of Atmospheric Physics"
China,"Furong Zhu, Ningxia Economic Research Center"
China,"Xukai Zou, China Meteorological Administration"
,
Colombia,"Ana Campos-Garcia, Consultant"
Colombia,"Omar-Dario Cardona, Universidad Nacional de Colombia"
Colombia,"Carmen Lacambra, Cambridge Coastal Research Unit"
Colombia,"Pedro Simon Lamprea Quiroga, Colombian Institute of Hydrology, Meteorology, and Environmental Studies"
Colombia,"Walter Vergara, Inter-American Development Bank"
Colombia,"Gustavo Wilches-Chaux, Universidad Andina Simon Bolivar"
,
Cook Islands,"Arona Ngari, Cook Islands Meteorological Service"
,
Costa Rica,"Allan Lavell, Programme for the Social Study of Risk and Disaster"
Costa Rica,"Roberto Villalobos Flores, Instituto Meteorologico Nacional"
,
Cuba,"Raul J. Garrido Vazquez, Ministry Science, Technology and Environment"
Cuba,"Tomas Gutierrez Perez, Instituto de Meteorologia"
Cuba,"Avelino G. Suarez, Institute of Ecology and Systematic, Cuban Environmental Agency"
,
Cyprus,"Silas Michaelides, Ministry of Agriculture, Natural Resources, and Environment"
,
Denmark,"Kirsten Halsnaes, Risø DTU"
Denmark,"Torkil Jonch Clausen, DHI"
Denmark,"Anne Mette Jorgensen, Centre Danish Meteorological"
Denmark,"Karen G. Villholth, GEUS, Geological Survey of Denmark and Greenland"
,
Egypt,"Fatma El Mallah, League of Arab States"
Egypt,"Wadid Fawzy Erian, Arab Center for the Studies of Arid Zones and Dry Lands"
Egypt,"Amal Saad-Hussein, National Research Centre"
Egypt,"Adel Yasseen, Ain Shams University, Institute of Environmental Research and Studies"
,
El Salvador,"Luis Ernesto Romano, Centro Humboldt Nicaragua"
,
Finland,"Timothy Carter, Finnish Environment Institute"
Finland,"Hilppa Gregow, Finnish Meteorological Institute"
,
Finland,"Simo Haanpää, Aalto University"
Finland,"Pirkko Heikinheimo, Prime Minister’s Office of Finland"
Finland,"Susanna Kankaanpää, HSY Helsinki Region Environmental Services Authority"
Finland,"Sanna Luhtala, Ministry of Agriculture and Forestry"
Finland,"Markku Niinioja , Ministry for Foreign Affairs"
Finland,"Hannu Raitio, Finnish Forest Research Institute"
Finland,"Karoliina Saarniharo, United Nations Framework Convention on Climate Change"
Finland,"Kristiina Säntti, Finnish Meteorological Institute"
Finland,"Heikki Tuomenvirta, Finnish Meteorological Institute"
Finland,"Elina Vapaavuori, Finnish Forest Research Institute"
Finland,"Hanna Virta, Finnish Meteorological Institute"
,
France,"Franck Arnaud, Ministry of Ecology, Sustainable Development, Transport, and Housing"
France,"Slimane Bekki, Institut Pierre Simon Laplace, Laboratoire Atmospheres, Milieux, Observations Spaciales"
France,"Nicolas Beriot, Ministry of Ecology, Sustainable Development, Transport, and Housing"
France,"Olivier Bommelaer, Ministry of Ecology, Sustainable Development, Transport, and Housing"
France,"Olivier Boucher, Met Office Hadley Centre"
France,"Paul-Henri Bourrelier, French Association for Disaster Risk Reduction"
France,"Jean-Marie Carriere, Meteo-France"
France,"Fabrice Chauvin, Meteo-France"
France,"Chantal Claud, Institute Pierre-Simon, Laboratoire de Meteorologie Dynamique"
France,"Fabio D’Andrea, Institute Pierre-Simon, Laboratoire de Meteorologie Dynamique"
France,"Sylvie de Smedt, Ministry of Ecology, Sustainable Development, Transport and Housing"
France,"Henri Decamps, Centre National de la Recherche Scientifique"
France,"Pascale Delecluse, Meteo-France"
France,"Michel Deque, Meteo-France"
France,"Pierre-Yves Dupuy, Service Hydrographique et Oceanographique de la Marine"
France,"Nicolas Eckert, Cemagref"
France,"Rene Feunteun, French Association for Disaster Risk Reduction"
France,"JC Gaillard, The University of Auckland"
France,"Francois Gerard, French Association for Disaster Risk Reduction"
France,"Marc Gillet, Meteo-France"
France,"Pascal Girot, IUCN"
France,"Frederic Grelot, Cemagref"
France,"Delphine Grynszpan, UK Health Protection Agency"
France,"Eric Guilyardi, Institut Pierre Simon Laplace, Laboratoire D’Oceanographie et du Climat"
France,"Stephane Hallegatte, CIRED and Meteo-France"
France,"Sylvie Joussaume, Paris Consortium on Climate"
France,"Reza Lahidji, Groupement de Recherches en Gestion a HEC"
France,"Michel Lang, Cemagref"
France,"Goneri Le Cozannet, Bureau de Recherches Geologiques et Minieres"
France,"Jean-Michel Le Quentrec, French Association for Disaster Risk Reduction"
France,"Antoine Leblois, CIRED"
France,"Alexandre Magnan, Institute fior Sustainable Development and International Relations"
France,"Eric Martin, Meteo-France"
France,"Olivier Mestre, Meteo-France"
France,"David Meunier, Ministry of Ecology, Sustainable Development, Transport, and Housing"
France,"Hormoz Modaressi, Bureau of Geological and Mining Research"
France,"Roland Nussbaum, Mission Risques Naturels"
France,"Sylvie Parey, EDF-France"
France,"Cedric Peinturier, Ministry of Ecology, Sustainable Development, Transport, and Housing"
France,"Michel Petit, Conseil General de L’industrie, de L’energie et des Technologies"
France,"Pierre Picard, Ecole Polytechnique"
France,"Serge Planton, Méto-France"
France,"Valentin Przyluski, Centre International de Recherche sur l’Environnement et le Developpement"
France,"Jean-Luc Salagnac, Centre Scientifique et Technique de Batiment"
France,"Bernard Seguin, INRA"
France,"Karen Sudmeier-Reiux, University of Lausanne, IUCN Commission on Ecosystems Management"
,
France,"Nicolas Taillefer, Centre Scientifique et Technique de Batiment"
France,"Jean-Philippe Torterotot, Cemagref"
France,"Robert Vautard, Institut Pierre Simon Laplace, Laboratoire des Sciences du Climat et de l'Environnement"
France,"Jean-Philippe Vidal, Cemagref"
France,"Vincent Viguié, Centre International de Recherche sur l’Environnement et le Developpement"
France,"Pascal Yiou, Laboratoire des Sciences du Climat et de l’Environnement"
,
Germany,"Gotelind Alber, Women for Climate Justice"
Germany,"Christoph Bals, Germanwatch"
Germany,"Hubertus Bardt, Cologne Institute for Economic Research"
Germany,"Andreas Baumgärtner, Project Management Agency of DLR, German IPCC Coordination Office"
Germany,"Paul Becker, German Weather Service"
Germany,"Joern Birkmann, UN University Institute for Environment and Human Security"
Germany,"Hans-Georg Bohle, University of Bonn"
Germany,"Hans Gunter Brauch, Freie Universitaet Berlin"
Germany,"Michael Bründl, WSL Institute for Snow and Avalanche Research SLF"
Germany,"Achim Daschkeit, German Federal Environment Agency"
Germany,"Carmen de Jong, University of Savoy"
Germany,"Thomas Deutschländer, German Meteorological Service"
Germany,"Paul Dostal, Project Management Agency of DLR"
Germany,"Dirk Engelbart, Federal Ministry of Transport, Building and Urban Development"
Germany,"Eberhard Faust, Munich Reinsurance Company"
Germany,"Roland Fendler, German Federal Environment Agency"
Germany,"Tobias Fuchs, German Weather Service"
Germany,"Hans-Martin Fuessel, European Environment Agency"
Germany,"Stefan Goessling-Reisemann, University of Bremen"
Germany,"Robert Grassmann, Deutsche Welthungerhilfe e.V."
Germany,"Edeltraud Guenther, Technische Universität Dresden"
Germany,"Josef Haider, KfW Development Bank"
Germany,"Angela Michiko Hama, United Nations International Strategy for Disaster Reduction"
Germany,"Sven Harmeling, Germanwatch"
Germany,"Fred Fokko Hattermann, Potsdam Institute for Climate Impact Research"
Germany,"Gabriele Hegerl, University of Edinburgh"
Germany,"Hans-Joachim Herrmann, German Federal Environment Agency"
Germany,"Anne Holsten, Potsdam Institute of Climate Impact Research"
Germany,"Anke Jentsch, University of Koblenz-Landau"
Germany,"Marcus Kaplan, German Development Institute"
Germany,"Christina Koppe-Schaller, Deutscher Wetterdienst"
Germany,"Christoph Kottmeier, Karlsruhe Institute of Technology"
Germany,"Frank Kreienkamp, Climate and Environment Consulting Potsdam GmbH"
Germany,"Christian Kuhlicke, Helmhotz Centre for Environmental Research"
Germany,"Birgit Kuna, Project Management Agency of DLR"
Germany,"Nana Künkel, German Agency for International Development"
Germany,"Michael Kunz, Karlsruhe Institute of Technology"
Germany,"Ole Langniss, Fichtner GmbH & Co KG"
Germany,"Rocio Lichte, United Nations Framework Convention on Climate Change"
Germany,"Petra Mahrenholz, German Federal Environment Agency"
Germany,"Reinhard Mechler, International Institute for Applied Systems Analysis, Vienna University of Economics"
Germany,"Bettina Menne, World Health Organization, Regional Office for Europe"
Germany,"Annette Mohner, United Nations Framework Convention on Climate Change"
Germany,"Guido Mücke, German Federal Environment Agency"
Germany,"Christian L.C. Müller, Federal Ministry for the Environment, Nature Conservation, and Nuclear Safety"
Germany,"Claudia Pahl-Wostl, Institute of Environmental Systems Research, University of Osnabruck"
Germany,"Gertrude Penn-Bressel, German Federal Environment Agency"
Germany,"Jurgen Pohl, University of Bonn"
Germany,"Joerg Rapp, Deutscher Wetterdienst"
,
Germany,"Markus Reichstein, Max-Planck Institute for Biogeochemistry"
Germany,"Joachim Rock, Johann Heinrich von Thuenen-Institute"
Germany,"Benno Rothstein, University of Applied Forest Sciences Rottenburg"
Germany,"Peter Rottach, Diakonie Katastrophenhilfe Consultant"
Germany,"Julia Rufin, Federal Minitry for the Environment, Nature Conservation, and Nuclear Safety"
Germany,"Evelina Santa, Federal Ministry of Education and Research"
Germany,"Philipp Schmidt-Thome, Geological Survey of Finland"
Germany,"Gudrun Schütze, German Federal Environment Agency"
Germany,"Reimund Schwarze, Helmholtz Center for Environmental Research"
Germany,"Joachim H. Spangenberg, Sustainable Europe Research Institute"
Germany,"Frank Sperling, World Wildlife Fund, Norway"
Germany,"Jochen Stuck, Project Management Agency of DLR"
Germany,"Swenja Surminski, Association of British Insurers"
Germany,"Christiane Textor, Project Management Agency of DLR, German IPCC Coordination Office"
Germany,"Annegret Thieken, University of Potsdam"
Germany,"Uwe Ulbrich, Freie Universitat Berlin"
Germany,"Martine Vatterodt, Federal Ministry for Economic Cooperation and Development"
Germany,"Monika Vees, German Federal Environment Agency"
Germany,"Gottfried von Gemminingen, Federal Ministry for Economic Cooperation and Development"
Germany,"Hans von Storch, GKSS Research Center"
Germany,"Martin Voss, Katastrophenforschungsstelle Berlin"
Germany,"Koko Warner, United Nations University, Institute for Environment and Human Security"
Germany,"Juergen Weichselgartner, GKSS Research Center"
Germany,"Johanna Wolf, Memorial University of Newfoundland"
Germany,"Sabine Wurzler, North Rhine Westphalia State Environment Agency"
Germany,"Karl-Otto Zentel, Deutsches Komitee Katastrophenvorsorge e.V."
,
Ghana,"Seth Vordzorgbe, United Nations Development Programme"
,
Greece,"Christina Anagnostopoulou, Aristotle University of Thessaloniki"
Greece,"Helena Flocas, University of Athens"
Greece,"Panagiota Galiatsatou, Aristotle University of Thessaloniki"
Greece,"Antonis Koussis, National Observatory of Athens"
Greece,"Aristeidis Koutrouli, Technical University of Crete"
Greece,"Athanasios Louka, University of Thessaly"
Greece,"Petroula Louka, Hellenic National Meteorological Service"
Greece,"Dimitrios Melas, Aristotle University of Thessaloniki"
Greece,"Panayotis Prinos, Aristotle University of Thessaloniki"
Greece,"Ioannis Tsanis, Technical University of Crete"
Greece,"Adonis Velegrakis, University of the Aegean"
Greece,"Christos Zerefos, Academy of Athens"
,
Guatemala,"Edwin Castellanos, Universidad del Valle de Guatemala"
,
Hungary,"Joseph Feiler, Ministry of National Development"
Hungary,"Ferenc L. Tóth, International Atomic Energy Agency"
,
Iceland,"Halldor Bjornsson, Icelandic Meteorological Office"
Iceland,"HalldorSigrun Karlsdottir, Icelandic Meteorological Office"
Iceland,"Arni Snorrason, Icelandic Meteorological Office"
,
India,"Unnikrishnan Alakkat, National Institute of Oceanography"
India,"Subbiah Arjunapermal, Asian Disaster Preparedness Center"
India,"Suruchi Bhadwal, The Energy and Resources Institute"
,
India,"Mihir Bhatt, India Disaster Mitigation Institute"
India,"Amit Garg, Indian Institute of Management Ahmedabad"
India,"B.N. Goswami, Indian Institute for Tropical Meteorology"
India,"Manu Gupta, SEEDS"
India,"Umesh Haritashya, University of Dayton"
India,"Ritesh Kumar, Wetlands International - South Asia"
India,"Pradeep Mujumdar, Indian Institute of Science"
India,"Anand Patwardhan, Indian Institute of Technology Bombay"
India,"Apurva Sanghi, The World Bank"
India,"Akhilesh Surjan, United Nations University"
,
Indonesia,"Edvin Aldrian, Badan Meteorologi Klimatologi dan Geofisika"
,
Iran,"Rahman Davtalab, Ministry of Energy"
Iran,"Saeid Eslamian, Isfahan University of Technology"
Iran,"Mahnaz Khazaee, Atmospheric Science and Meteorological Research Center"
Iran,"Mohammad Rahimi, Semnan University"
Iran,"Fatemeh Rahimzadeh, Atmospheric Science and Meteorological Research Center"
Iran,"Saviz Sehat Kashani, Atmospheric Sciences and Meteorological Research Center"
,
Ireland,"Ian Bryceson, Norwegian University of Life Sciences"
Ireland,"Noel Casserly, Department of the Environment"
,
Italy,"Marina Baldi, National Research Council, Institute of Biometeorology"
Italy,"Roberto Bertollini, World Health Organization"
Italy,"Francesco Bosello, Fondazione Eni Enrico Mattei, Milan University"
Italy,"Stefano Bovo, ARPA Piemonte"
Italy,"Carlo Giupponi, University Ca’ Foscari of Venice and Euro-Mediterranean Centre for Climate Change"
Italy,"Georg Kaser, University of Innsbruck"
Italy,"Valentina Pavan, ARPA Emilia-Romagna"
Italy,"Roberto Ranzi, University of Brescia"
Italy,"Carlo Scaramella, World Food Programme"
Italy,"Rodica Tomozeiu, ARPA Emilia-Romagna"
,
Japan,"Shiho Asano, Forestry and Forest Products Research Institute"
Japan,"Fumiaki Fujibe, Meteorological Research Institute"
Japan,"Koji Fujita, Nagoya University"
Japan,"Masahiro Hashizume, Institute of Tropical Medicine, Nagasaki University"
Japan,"Yasushi Honda, University of Tsukuba"
Japan,"Shinjiro Kanae, Tokyo Institute of Technology"
Japan,"Takehiro Kano, Division Ministry of Foreign Affairs"
Japan,"Miwa Kato, UNFCCC Secretariat"
Japan,"Hiroyasu Kawai, Port and Airport Research Institute"
Japan,"So Kazama, Tohoku University"
Japan,"Akio Kitoh, Meteorological Research Institute"
Japan,"Masahide Kondo, University of Tsukuba"
Japan,"Kazuo Kurihara, Meteorological Research Institute"
Japan,"Shoji Kusunoki, Meteorological Research Institute"
Japan,"Takao Masumoto, National Institute for Rural Engineering, National Agriculture and Food Research Organization"
Japan,"Nobuo Mimura, Ibaraki University"
Japan,"Hisayoshi Morisugi, Nihon University"
Japan,"Toshiyuki Nakaegawa, Meteorological Research Institute"
Japan,"Elichi Nakakita, Kyoto University"
Japan,"Motoki Nishimori, National Institute for Agro-Environmental Sciences"
Japan,"Taikan Oki, University of Tokyo"
Japan,"Rajib Shaw, Kyoto University"
,
Japan,"Hideo Shiogama, National Institute for Environmental Studies"
Japan,"Yasuto Tachikawa, Kyoto University"
Japan,"Kiyoshi Takahashi, National Institute for Environmental Studies"
Japan,"Izuru Takayabu, Meteorological Research Institute"
Japan,"Kuniyoshi Takeuchi, International Centre for Water Hazard and Risk Management"
Japan,"Tadashi Tanaka, University of Tsukuba"
Japan,"Makoto Tani, Kyoto University"
Japan,"Tsugihiro Watanabe, Research Institute for Humanity and Nature"
Japan,"Hiroya Yamano, National Institute for Environmental Studies"
,
Kenya,"Peter Ambenje, Kenya Meteorological Department"
Kenya,"Samwel Marigi, Kenya Meteorological Department"
Kenya,"Charles Mutai, Ministry of Environment and Mineral Resources"
Kenya,"Christopher Oludhe, University of Nairobi, Department of Meteorology"
,
Latvia,"Olga Vilima, United Nations International Strategy for Disaster Reduction"
,
Malaysia,"Joy Jacqueline Pereira, Universiti Kebangsaan Malaysia"
Malaysia,"Salmah Zakaria, United Nations Economic and Social Commission"
,
Mauritania,"Gueladio Cisse, Swiss Tropical and Public Health Institute"
,
Mexico,"Victor Cardenas, Climate Change and Natural Disaster Risk Management"
Mexico,"Tereza Cavazos, El Centro de Investigación Científica y de Educación Superior de Ensenada"
Mexico,"Carolina Neri, Universidad Nacional Autonoma de Mexico"
Mexico,"Ursula Oswald-Spring, Universidad Nacional Autónoma de México"
Mexico,"Ricardo Zapata-Marti, United Nations Economic Commission for Latin America and the Caribbean"
,
Mongolia,"Ravsal Oyun, JEMR Consulting Company"
,
Morocco,"Abdalah Mokssit, Direction de la Météorologie Nationale"
,
Mozambique,"Felipe Lucio, Global Framework for Climate Services Office, WMO"
,
New Zealand,"Reid Basher, Secretariat of the High-Level Taskforce on the Global Framework for Climate Services"
New Zealand,"Leonard Brown, Ministry for the Environment - Manatu Mo Te Taiao"
New Zealand,"John Campbell, University of Waikato"
New Zealand,"John Hay, University of the South Pacific"
New Zealand,"Glenn McGregor, University of Auckland"
New Zealand,"Matthew McKinnon, DARA"
New Zealand,"Helen Plume, Ministry for the Environment - Manatu Mo Te Taiao"
New Zealand,"David Wratt, National Institute of Water and Atmospheric Research"
,
Niger,"Abdelkrim Ben Mohamed, University of Niamey"
,
Norway,"Torgrim Asphjell, Climate and Pollution Agency"
Norway,"Rasmus Benestad, The Norwegian Meteorological Institute"
Norway,"Tor A. Benjaminsen, Norwegian University of Life Sciences"
Norway,"Elzbieta Maria Bitner-Gregersen, Det Norske Veritas AS"
,
Norway,"Oyvind Christophersen, Climate and Pollution Agency"
Norway,"Solveig Crompton, Ministry of the Environment"
Norway,"Linda Dalen, Norwegian Directorate for Nature Management"
Norway,"Lars Ingolf Eide, Det Norske Veritas"
Norway,"Siri Eriksen, Norwegian University of Life Sciences"
Norway,"Christoffer Grønstad, Climate and Pollution Agency"
Norway,"Hege Haugland, Climate and Pollution Agency"
Norway,"Hege Hisdal, Norwegian Water Resources and Energy Directorate"
Norway,"Dag O. Høgvold, Directorate for Civil Protection and Emergency Planning"
Norway,"Linn Bryhn Jacobsen, Climate and Pollution Agency"
Norway,"Vikram Kolmannskog, Norwegian Refugee Council"
Norway,"Ole-Kristian Kvissel, Climate and Pollution Agency"
Norway,"Farrokh Nadim, International Centre for Geohazards"
Norway,"Lars Otto Naess, Institute of Development Studies"
