Group	Country	Name	Institution/Department
REVIEWERS OF IPCC WGI REPORT	AUSTRALIA	M. Williams	Monash University
REVIEWERS OF IPCC WGI REPORT	AUSTRALIA	S. Wilson	Cape Grim Baseline Air Pollution Station
REVIEWERS OF IPCC WGI REPORT	AUSTRALIA	K H Wyrhol	University of Western Australia
REVIEWERS OF IPCC WGI REPORT	AUSTRALIA	J. Zillman	Australian Bureau of Meteorology
			
REVIEWERS OF IPCC WGI REPORT	AUSTRIA	R. Christ	Federal Ministry of Environment, Youth and Family
REVIEWERS OF IPCC WGI REPORT	AUSTRIA	H. Hojensky	Federal Environmental Agency
REVIEWERS OF IPCC WGI REPORT	AUSTRIA	H. Kolb	Institut fur Meteorologie und Geophysik
REVIEWERS OF IPCC WGI REPORT	AUSTRIA	O. Preining	Institut fur Experimentalphysik
			
REVIEWERS OF IPCC WGI REPORT	BELGIUM	A Berger	Instute d'Astronomie et de Geophysique
			
REVIEWERS OF IPCC WGI REPORT	BRAZIL	C. Nobre	Instituto de Pesquisas Espaciais
			
REVIEWERS OF IPCC WGI REPORT	CANADA	M. Berry	Canadian Climate Centre
REVIEWERS OF IPCC WGI REPORT	CANADA	G. J. Boer	Canadian Climate Centre
REVIEWERS OF IPCC WGI REPORT	CANADA	R. Daley	Canadian Climate Centre
REVIEWERS OF IPCC WGI REPORT	CANADA	B. Goodison	Canadian Climate Centre
REVIEWERS OF IPCC WGI REPORT	CANADA	D. Harvey	University of Toronto (Department of Geography)
REVIEWERS OF IPCC WGI REPORT	CANADA	H. Hengeveld	Canadian Climate Centre
REVIEWERS OF IPCC WGI REPORT	CANADA	G. McBean	University of British Columbia
REVIEWERS OF IPCC WGI REPORT	CANADA	L. Mysak	Canadian Climate Centre
REVIEWERS OF IPCC WGI REPORT	CANADA	W.R. Peltier	Canadian Climate Centre
REVIEWERS OF IPCC WGI REPORT	CANADA	R W. Stewart	
REVIEWERS OF IPCC WGI REPORT	CANADA	F. Zwiers	Canadian Climate Centre
			
REVIEWERS OF IPCC WGI REPORT	CHINA	Chong-guang Yuan	Institute of Atmospheric Physics
REVIEWERS OF IPCC WGI REPORT	CHINA	Cong-bin Fus	Institute of Atmospheric Physics
REVIEWERS OF IPCC WGI REPORT	CHINA	Ding Yihui	Academy of Meteorological Sciences
REVIEWERS OF IPCC WGI REPORT	CHINA	Du-zheng Ye	Institute of Atmospheric Physics
REVIEWERS OF IPCC WGI REPORT	CHINA	Guang-yu Shi	Institute of Atmospheric Physics
REVIEWERS OF IPCC WGI REPORT	CHINA	Ming-xing Wang	Institute of Atmospheric Physics
REVIEWERS OF IPCC WGI REPORT	CHINA	Qing-cun Zeng	Institute of Atmospheric Physics
REVIEWERS OF IPCC WGI REPORT	CHINA	Shi-yan Tao	Institute of Atmospheric Physics
REVIEWERS OF IPCC WGI REPORT	CHINA	Xue-hong Zhang	Institute of Atmospheric Physics
REVIEWERS OF IPCC WGI REPORT	CHINA	Zhou Xiuji	Academy of Meteorological Sciences
REVIEWERS OF IPCC WGI REPORT	CHINA	Zhao Zongci	Institute of Climate
			
REVIEWERS OF IPCC WGI REPORT	DENMARK	P. Frich	Danish Meteorological Institute
REVIEWERS OF IPCC WGI REPORT	DENMARK	K. Frydendahl	Danish Meteorological Institute
REVIEWERS OF IPCC WGI REPORT	DENMARK	L. Laursen	Danish Meteorological Institute
REVIEWERS OF IPCC WGI REPORT	DENMARK	L.P. Prahm	Danish Meteorological Institute
REVIEWERS OF IPCC WGI REPORT	DENMARK	A. Wiin-Nielsen	Geophysical Institute (University of Copenhagen)
			
REVIEWERS OF IPCC WGI REPORT	EGYPT	A.M. Mehanna	Meteorological Authority
REVIEWERS OF IPCC WGI REPORT	EGYPT	A.L. Shaaban	Meteorological Authority
			
REVIEWERS OF IPCC WGI REPORT	ETHIOPIA	W. Degufu	National Meteorological Services Agency
REVIEWERS OF IPCC WGI REPORT	ETHIOPIA	T. Haile	National Meteorological Services Agency
			
REVIEWERS OF IPCC WGI REPORT	FEDERAL REPUBLIC OF GERMANY	P. Crutzen	SC IGBP
REVIEWERS OF IPCC WGI REPORT	FEDERAL REPUBLIC OF GERMANY	K. Hasselmann	Max Planck Institut für Meteorologie
REVIEWERS OF IPCC WGI REPORT	FEDERAL REPUBLIC OF GERMANY	B. Santer	Max Planck Institut für Meteorologie
REVIEWERS OF IPCC WGI REPORT	FEDERAL REPUBLIC OF GERMANY	CD. Schönwiese	Institut für Meteorologir und Geophysik der Universitat Goethe
REVIEWERS OF IPCC WGI REPORT	FEDERAL REPUBLIC OF GERMANY	J. Willebrand	Institut für Meerskunde der Universitat Kiel
			
REVIEWERS OF IPCC WGI REPORT	FINLAND	E. Holopainen	University of Helsinki
			
REVIEWERS OF IPCC WGI REPORT	FRANCE	A. Alexiou	CCO, UNESCO
REVIEWERS OF IPCC WGI REPORT	FRANCE	D. Cariolle	EERM/Centre National de Recherches Meteorologiques
REVIEWERS OF IPCC WGI REPORT	FRANCE	C. Lorius	Laboratoire de Glaciologie, CNRS
			
REVIEWERS OF IPCC WGI REPORT	GERMAN DEMOCRATIC REPUBLIC	S. Dyck	Dresden Technical University
REVIEWERS OF IPCC WGI REPORT	GERMAN DEMOCRATIC REPUBLIC	H. Lass	Institute for Marine Research
REVIEWERS OF IPCC WGI REPORT	GERMAN DEMOCRATIC REPUBLIC	D. Spaenkuch	Meteorological Service of GDR
			
REVIEWERS OF IPCC WGI REPORT	INDIA	S. Gadgil	Indian Institute of Sciences
			
REVIEWERS OF IPCC WGI REPORT	ITALY	M. Conte	Italian Meteorological Service (Climate Unit)
REVIEWERS OF IPCC WGI REPORT	ITALY	M. Olacino	National Research Council (Institute of Atmospheric Physics)
REVIEWERS OF IPCC WGI REPORT	ITALY	S. Yanni	Italian Meteorological Service
			
REVIEWERS OF IPCC WGI REPORT	JAP AN	H. Akimoto	National Institute for Environmental Studies
REVIEWERS OF IPCC WGI REPORT	JAP AN	H. Muramatsu	Disaster Prevention Research Institute, Kyoto University
REVIEWERS OF IPCC WGI REPORT	JAP AN	T. Nakazawa	Meteorological Research Institute
REVIEWERS OF IPCC WGI REPORT	JAP AN	A. Noda	Meteorological Research Institute
REVIEWERS OF IPCC WGI REPORT	JAP AN	M. Okada	Meteorological Research Institute
REVIEWERS OF IPCC WGI REPORT	JAP AN	Y. Sugimur	Meteorological Research Institute
REVIEWERS OF IPCC WGI REPORT	JAP AN	R. Yamamoto	Laboratory for Climatic Research, Kyoto University
REVIEWERS OF IPCC WGI REPORT	JAP AN	T. Yasunari	University of Tsukuba, Institute of Geoscience
REVIEWERS OF IPCC WGI REPORT	JAP AN	M. Yoshino	University of Tsukuba, Institute of Geoscience
			
REVIEWERS OF IPCC WGI REPORT	KENY A	I.J. Ogallo	University of Nairobi, Meteorology Department
			
REVIEWERS OF IPCC WGI REPORT	NETHERLANDS	A. Baede	Royal Netherlands Meteorological Institute (KNMI)
REVIEWERS OF IPCC WGI REPORT	NETHERLANDS	T. Buishand	Royal Netherlands Meteorological Institute (KNMI)
REVIEWERS OF IPCC WGI REPORT	NETHERLANDS	J. de Ronde	Rijkswaterstaat, Department of Transport and Public Works
REVIEWERS OF IPCC WGI REPORT	NETHERLANDS	W. de Ruijter	Institute for Meteorological & Oceanography, University of Utrecht
REVIEWERS OF IPCC WGI REPORT	NETHERLANDS	A. Kattenberg	Royal Netherlands Meteorological Institute (KNMI)
REVIEWERS OF IPCC WGI REPORT	NETHERLANDS	J. Rozema	University of Amsterdam
REVIEWERS OF IPCC WGI REPORT	NETHERLANDS	C. Schuurmans	Royal Netherlands Meteorological Institute (KNMI)
REVIEWERS OF IPCC WGI REPORT	NETHERLANDS	R. J. Swart	Institute for Public Health and the Environment (RIVM)
REVIEWERS OF IPCC WGI REPORT	NETHERLANDS	H. Tennekes	Royal Netherlands Meteorological Institute (KNMI)
REVIEWERS OF IPCC WGI REPORT	NETHERLANDS	R. Van Dorland	Royal Netherlands Meteorological Institute (KNMI)
REVIEWERS OF IPCC WGI REPORT	NETHERLANDS	A. van Ulden	Royal Netherlands Meteorological Institute (KNMI)
			
REVIEWERS OF IPCC WGI REPORT	NEW ZEALAND	J. S. Hickman	New Zealand Meteorological Service
REVIEWERS OF IPCC WGI REPORT	NEW ZEALAND	W. A. Laing	DSIR Fruit and Trees
REVIEWERS OF IPCC WGI REPORT	NEW ZEALAND	D. C. Lowe	DSIR Institute of Nuclear Sciences
REVIEWERS OF IPCC WGI REPORT	NEW ZEALAND	M. R. Manning	DSIR Institute of Nuclear Sciences
REVIEWERS OF IPCC WGI REPORT	NEW ZEALAND	A. B. Mullan	New Zealand Meteorological Service
			
REVIEWERS OF IPCC WGI REPORT	NIGERIA	E.O. Oladipo	University of Ahmadu Bello, Geography Department
			
REVIEWERS OF IPCC WGI REPORT	SAUDI ARABIA	J. C. McCain	Research Institute (King Fahd University of Petroleum & Minerals)
REVIEWERS OF IPCC WGI REPORT	SAUDI ARABIA	N. I. Tawfiq	Meteorological & Environmental Protection Administration
			
REVIEWERS OF IPCC WGI REPORT	SENEGAL	E.S. Diop	COMARAF
REVIEWERS OF IPCC WGI REPORT	SENEGAL	M. Seek	Ministere de l'Equipement
			
REVIEWERS OF IPCC WGI REPORT	SOVIET UNION	M. Budyko	Main Geophysical Observatory
REVIEWERS OF IPCC WGI REPORT	SOVIET UNION	G.S. Golitsyn	Academy of Sciences, Institute of Atmospheric Physics
REVIEWERS OF IPCC WGI REPORT	SOVIET UNION	I. L. Karol	Main Geophysical Observatory
REVIEWERS OF IPCC WGI REPORT	SOVIET UNION	V. Meleshko	Main Geophysical Observatory
			
REVIEWERS OF IPCC WGI REPORT	SWEDEN	B. Bolin	University of Stockholm
REVIEWERS OF IPCC WGI REPORT	SWEDEN	B. Dahlstrom	Swedish Meteorological & Hydrological Institute
			
REVIEWERS OF IPCC WGI REPORT	SWEDEN	T. R. Gerholm	University of Stockholm
REVIEWERS OF IPCC WGI REPORT	SWEDEN	A. Johannsson	University of Stockholm
REVIEWERS OF IPCC WGI REPORT	SWEDEN	E. Kallen	University of Stockholm
REVIEWERS OF IPCC WGI REPORT	SWEDEN	H. Sundqvist	University of Stockholm
REVIEWERS OF IPCC WGI REPORT	SWEDEN	G. Walin	Goteborg University (Department of Oceanography)
			
REVIEWERS OF IPCC WGI REPORT	SWITZERLAND	M. Beniston	ERCOFTAC - Ecole Polytechnique de Lausanne
REVIEWERS OF IPCC WGI REPORT	SWITZERLAND	H. C. Davies	Laboratory of Atmospheric Physics
REVIEWERS OF IPCC WGI REPORT	SWITZERLAND	J. Fuhrer	Swiss Federal Research Station
REVIEWERS OF IPCC WGI REPORT	SWITZERLAND	F. Gassmann	Paul Scherrer Institute
REVIEWERS OF IPCC WGI REPORT	SWITZERLAND	K. Kelts	Swiss Academy of Sciences
REVIEWERS OF IPCC WGI REPORT	SWITZERLAND	H. R. Luthi	Swiss Federal Office of Energy
REVIEWERS OF IPCC WGI REPORT	SWITZERLAND	P. Morel	WMO
REVIEWERS OF IPCC WGI REPORT	SWITZERLAND	A. Ohmura	Swiss Federal Institute of Technology
REVIEWERS OF IPCC WGI REPORT	SWITZERLAND	H. Oeschger	Physikalisches Institute, University of Bern
			
REVIEWERS OF IPCC WGI REPORT	THAILAND	P. Patvivatsiri	Meteorological Department, Bangkok
			
REVIEWERS OF IPCC WGI REPORT	UNITED KINGDOM	B. Hoskins	University of Reading
REVIEWERS OF IPCC WGI REPORT	UNITED KINGDOM	B. Huntley	University of Durham
REVIEWERS OF IPCC WGI REPORT	UNITED KINGDOM	P.D. Jones	University of East Anglia, Climatic Research Unit
REVIEWERS OF IPCC WGI REPORT	UNITED KINGDOM	P. Killworth	Hooke Institute
REVIEWERS OF IPCC WGI REPORT	UNITED KINGDOM	G. Needler	WOCE, Institute of Oceanographic Sciences
REVIEWERS OF IPCC WGI REPORT	UNITED KINGDOM	N. J. Shackleton	University of Cambridge
REVIEWERS OF IPCC WGI REPORT	UNITED KINGDOM	K.P. Shine	University of Reading
REVIEWERS OF IPCC WGI REPORT	UNITED KINGDOM	T. M. L. Wigley	University of East Anglia, Climatic Research Unit
REVIEWERS OF IPCC WGI REPORT	UNITED KINGDOM	J. D. Woods	Natural Environment Research Council
			
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J.D. Aber	University of New Hampshire
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J. Angell	NOAA
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	A. Arking	NASA/GSFC
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	D.J. Baker	Joint Oceanographic Institutes Inc
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	T.C. Bell	NASA/GSFC
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	C.R. Bentley	University of Wisconsin at Madison
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	F.P. Bretherton	SSEC, University of Wisconsin
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	P Brewer	Pacific Marine Laboratory
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	W.E. Carter	National Geodetic Survey
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	T. Charlock	NAS/LARC
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	R. Cicerone	University of California at Irvine
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	N. Cobb	
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	R. Dahlman	
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	R.E. Dickinson	National Centre for Atmospheric Research
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	R.K. Dixon	U.S. EPA
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J. Dutton	Pennsylvania State University
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J.A. Eddy	UCAR
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	R. Ellingson	University of Maryland
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	H.W. Ellsaesser	Lawrence Livermore National Laboratory
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	E. Ferguson	NOAA
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J. Firor	National Centre for Atmospheric Research
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J. Fishman	NAS/LARC
			
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	B. Flannery	Exxon Research and Engineering Company
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	M.Ghil	University of California, Los Angeles
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	I. Goklany	
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	D. Goodrich	NASA Office of Climatic and Atmospheric Research
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	T.E. Graedel	Bell Telephone Laboratories
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	S. Grotch	Lawrence Livermore National Laboratory
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	K. Hanson	NOA A
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	D.J. Jacob	Harvard University
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	C.Y.J. Kao	Los Alamos National Laboratory
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	Y.J. Kaufman	NASA/GSFC
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J.T. Kiehl	National Centre for Atmospheric Research
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J. Mahlman	NOAA
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	T. Malone	St Joseph's College
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	G. MacDonald	MITRE Corporation
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	M. McFarland	DuPont
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	G.A. Meehl	National Centre for Atmospheric Research
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	G. North	Texas A&M University
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J. O'Brien	ccco
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	M. Oppenheimer	Environmental Defence Fund
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	R. Perhac	Electric Power Institute
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	A.M. Perry	Retired
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	D. Randall	Colorado State University
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	P. Risser	Universtiy of New Mexico
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	A. Robock	University of Maryland
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	D.R. Rodenhuis	U.S. Department of Commerce
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	W. Rossow	NASA/GISS
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	D. Schimel	Colorado State University
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	W.H. Schlesinger	Duke University
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	S.H. Schneider	National Centre for Atmospheric Research
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J. Shukla	University of Maryland
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J. Sigmon	Environmental Protection Agency
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J. Smagorinsky	
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	D.W. Stahle	Universtiy of Arkansas
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J. Steele	Woods Hole Oceanographic Institute
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	G. Stevens	Colorado State University
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	P.H. Stone	Massachusetts Institute of Technology
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	N.D. Sze	AER Inc.
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J. Trabalka	Oak Ridge National Laboratory
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	K. Trenberth	National Centre for Atmospheric Research
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	K. van Cleve	Universtiy of Alaska
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	T.H. Vonder Haar	Colorado State University
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	J.E. Walsh	University of Illinois
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	D.E. Ward	USDA Forest Service
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	R.T. Watson	NASA HQ, Washington
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	T. Webb	Brown University
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	G. Weller	Universtiy of Alaska
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	R.T. Wetherald	Princeton University (GFDL)
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	R.S. Williams Jr.	U.S. Geological Survey
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	F.B. Wood	U.S. Congress
REVIEWERS OF IPCC WGI REPORT	UNITED STATES OF AMERICA	B. Worrest	Environmental Protection Agency
