Name,Institution,Country
"BRENKERT, Antoinette",University of Maryland,USA
"BRIGUGLIO, Lino",Foundation for International Studies,Malta
"BRISTOW, Abigail",Loughborough University,United Kingdom
"BRKLACICH, Michael",Carleton University,Canada
"BROOKS, Nick",University of East Anglia,United Kingdom
"BROWN, Barbara",Newcastle University,United Kingdom
"BRUCE, James P.",Canadian Climate Program Board,Canada
"BUGMANN, Harald",ETH Zurich,Switzerland
"BURCH, Sarah",University of British Columbia,Canada
"BURKETT, Virginia",U.S. Geological Survey,USA
"BURTON, Ian",University of Toronto,Canada
"CAIRNCROSS, Sandy",London School of Hygiene and Tropical Medicine,United Kingdom
"CALLAGHAN, Terry V.",Royal Swedish Academy of Sciences,Sweden
"CAMBERS, Guilian",N/A,Puerto Rico
"CAMPOS, Maximiliano",National Meteorological Institute,Costa Rica
"CANADELL, Josep",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"CANZIANI, Osvaldo F.",Universidad de Buenos Aires,Argentina
"CARTER, Timothy",Finnish Environment Institute,Finland
"CASASSA, Gino",Centro de Estudios Cientificos (CECS),Chile
"CAYAN, Daniel R.",University of California San Diego,USA
"CERON, Jean-Paul",Université de Limoges,France
"CHAMBERS, Lynda",Bureau of Meteorology,Australia
"CHHETRI, Netra",Arizona State University,USA
"CHRISTENSEN, Torben R.",Lund University,Sweden
"CLOT, Bernard",Federal Office of Meteorology and Climatology Meteo-Swiss,Switzerland
"CODIGNOTTO, Jorge O.",Universidad de Buenos Aires,Argentina
"COHEN, Stewart J.",Environment Canada,Canada
"COLEMAN, Anthony",Insurance Australia Group,Australia
"CONDE, Cecilia",Universidad Nacional Autonoma de Mexico (UNAM),Mexico
"CONFALONIERI, Ulisses",Oswaldo Cruz Foundation (FIOCRUZ),Brazil
"CORFEE-MORLOT, Jan",Organization for Economic Cooperation and Development (OECD),France
"COROBOV, Roman",Regionica,Moldova
"CÔTÉ, Isabelle",Simon Fraser University,Canada
"COUGHLAN, Michael J.",Bureau of Meteorology,Australia
"CRAIG, Patricia",Pennsylvania State University,USA
"CRAMER, Wolfgang P.",Potsdam Institute for Climate Impact Research,Germany
"CRANAGE, Judith",Pennsylvania State University,USA
"CRUZ, Rex Victor",University of the Philippines Los Baños,Philippines
"CRUZ CHOQUE, David",Ministry of Sustainable Development,Bolivia
"CURTO DE CASAS, Susana I.",Universidad de Buenos Aires,Argentina
"DE ALBA ALCARAZ, Edmundo",Universidad Nacional Autonoma de Mexico (UNAM),Mexico
"DE CHAZAL, Jacqueline",Université Catholique de Louvain,Belgium
"DE RONDE, John",WIJ Delft Hydraulics,The Netherlands
"DEMUTH, Mike",Natural Resources Canada,Canada
"DENTON, Fatima",International Development Research Centre,Senegal
"DES CLERS, Sophie",University College London,United Kingdom
"DEVOY, Robert",University College Cork,Ireland
"DIAZ, Sandra Myrna",Universidad Nacional de Córdoba,Argentina
"DIKINYA, Oagile",University of Western Australia,Australia
"DLUGOLECKI, Andrew F.",Consultant,United Kingdom
"DOLL, Petra",Goethe University Frankfurt,Germany
"DOWNING, Thomas E.",Stockholm Environment Institute,Sweden
"DRONKERS, Job",N/A,The Netherlands
"DUBE, Pauline O.",University of Botswana,Botswana
"DUBOIS, Ghislain",Environnement Conseil (TEC),France
"DUNN, Matt",National Institute of Water and Atmospheric Research,New Zealand
"DYURGEROV, Mark",University of Colorado,USA
"EASTERLING, William",Pennsylvania State University,USA
"EBI, Kristie L.",Exponent,USA
"EDWARDS, Martin",Sir Alister Hardy Foundation for Ocean Science,United Kingdom
"EMORI, Seita",National Institute for Environmental Studies,Japan
"ENRIGHT, Brenna",University of Toronto,Canada
"ESTRADA PORRÚA, Francisco",Universidad Nacional Autonoma de Mexico (UNAM),Mexico
"ESTRELLA, Nicole",Technical University of Munich,Germany
"FALLOON, Pete",Met Office,United Kingdom
"FAN, Daidu",Tongji University,China
"FANKHAUSER, Samuel",European Bank for Reconstruction and Development (EBRD),United Kingdom
"FEARNSIDE, Philip M.",Instituto Nacional de Pesquisas da Amazonia,Brazil
"FIELD, Christopher B.",Carnegie Institute of Washington,USA
"FINKEL, Adam",Princeton University,USA
"FISCHLIN, Andreas",ETH Zurich,Switzerland
"FITZHARRIS, B. Blair",University of Otago,New Zealand
"FORBES, Donald L.",Bedford Institute of Oceanography,Canada
"FORD, James",McGill University,Canada
"FRANCOU, Bernard",Institut de Recherche pour le Developpement (IRD),France
"FURGAL, Christopher",Trent University,Canada
"FUSSEL, Hans-Martin",Potsdam Institute for Climate Impact Research,Germany
"GAY GARCIA, Carlos",Universidad Nacional Autonoma de Mexico (UNAM),Mexico
"GIANNAKOPOULOS, Christos",National Observatory of Athens,Greece
"GIGLI, Simone",Organization for Economic Cooperation and Development (OECD),Germany
"GIMÉNEZ, Juan Carlos",Universidad de Buenos Aires,Argentina
"GITHEKO, Andrew",Kenya Medical Research Institute,Kenya
"GOPAL, Brij",Jawaharlal Nehru University,India
"GORNITZ, Vivien",Columbia University,USA
"GOSSLING, Stefan",Lund University,Sweden
"GRAHAM, Phil",Swedish Meteorological and Hydrological Institute,Sweden
"GREEN, Donna",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"GRUBB, Michael",Carbon Trust,United Kingdom
"GUISAN, Antoine",Conservatoire et Jardin botaniques de Genève,Switzerland
"GYALISTRAS, Dimitrios",ETH Zurich,Switzerland
"HAEBERLI, Wilfreid",University of Zurich,Switzerland
"HALES, Simon",University of Otago,New Zealand
"HALL, Jim",Newcastle University,United Kingdom
"HALLEGATTE, Stephane",Centre international de recherche sur l'environnement et le développement (CIRED),France
"HAMLET, Alan",University of Washington,USA
"HANSON, Clair",Met Office,United Kingdom
"HARASAWA, Hideo",National Institute for Environmental Studies,Japan
"HARVEY, Nicholas",University of Adelaide,Australia
"HAUENGUE, Maria",Ministry of Health,Mozambique
"HAY, John",University of Waikato,New Zealand
"HEMMING, Deborah",Met Office,United Kingdom
"HENDERSON, Roderick",National Institute of Water and Atmospheric Research,New Zealand
"HENNESSY, Kevin",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"HENSHAW, Anne",Bowdoin College,USA
"HILMI, Karim",Institut National de Recherche Halieutique,Morocco
"HOBDAY, Alistair",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"HOEGH-GULDBERG, Ove",University of Queensland,Australia
"HONDA, Yasushi",University of Tsukuba,Japan
"HOPE, Christopher",University of Cambridge,United Kingdom
"HOWDEN, Mark",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"HU NINH, Nguyen",Centre for Environment Research Education and Development,Vietnam
"HUGHES, Lesley",Macquarie University,Australia
"HUGHES, Terence",James Cook University,Australia
"HUQ, Saleemul",International Institute for Environment and Development (IIED),United Kingdom
"HUTTON, Guy",Swiss Tropical Institute,Switzerland
"IGLESIAS, Ana",Universidad de Buenos Aires,Argentina
"IMESON, Anton",Commission on Geomorphological Response to Environmental Change,The Netherlands
"ISLAM, Sirajul",University of Chittagong,Bangladesh
"JAFARI, Mostafa",Iranian Meteorological Organization,Iran
"JANETOS, Anthony",H. John Heinz III Center for Science Economics and the Environment,USA
"JEFFERIES, Robert L.",University of Toronto,Canada
"JEPPESEN, Erik",National Environmental Research Institute,Denmark
"JETTÉ-NANTEL, Simon",Organization for Economic Cooperation and Development (OECD),Canada
"JIMENEZ CISNEROS, Blanca Elena",Universidad Nacional Autonoma de Mexico (UNAM),Mexico
"JONES, Gregory",Southern Oregon University,USA
"JONES, Roger N.",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"JU, Hui",Chinese Academy of Agricultural Science,China
"KABAT, Pavel",International Secretariat for Dialogue on Water and Climate,The Netherlands
"KAJFEZ-BOGATAJ, Lucka",University of Ljubljana,Slovenia
"KANDLIKAR, Milind",Harvard University,USA
"KAPSHE, Manmohan",Maulana Azad National Institute of Technology,India
"KAROLY, David J.",University of Melbourne,Australia
"KASER, Georg",University of Innsbruck,Austria
"KATES, Robert",Independent Consultant,USA
"KELLER, Klaus",Pennsylvania State University,USA
"KELLOMAKI, Seppo",University of Joensuu,Finland
"KENNY, Gavin",Earthwise Consulting,New Zealand
"KGOPE, Barney S.",N/A,South Africa
"KILLMANN, Wulf",Food and Agriculture Organization (FAO),Italy
"KING, Darren",National Institute of Water and Atmospheric Research,New Zealand
"KIRILENKO, Andrei",University of North Dakota,USA
"KJELLSTROM, Tord",University of Auckland,New Zealand
"KLEIN, Richard J.T.",Stockholm Environment Institute,Sweden
"KORNER, Christian",University of Basel,Switzerland
"KOVACS, Paul",Institute for Catastrophic Loss Reduction,Canada
"KOVATS, Sari",London School of Hygiene and Tropical Medicine,United Kingdom
"KUNDZEWICZ, Zbigniew",Polish Academy of Sciences,Poland
"LAKYDA, Petro",University of Ukraine,Ukraine
"LAL, Murari",CESDAC,India
"LAM, Joseph",City University of Hong Kong,China
"LASCO, Rodel",University of the Philippines Los Baños,Philippines
"LEARY, Neil A.",Dickinson College,USA
"LEEMANS, Rik",Wageningen University,The Netherlands
"LEFALE, Penehuro",World Meteorological Organization (WMO),Samoa
"LEMOS, Maria-Carmen",University of Michigan,USA
"LEWIS, Nancy",University of Hawaii,USA
"LI, Congxian",Tongji University,China
"LI, Shuangcheng",Peking University,China
"LIEN, Tranviet",Institute of Meteorology and Hydrology Vietnam,Vietnam
"LIN, Erda",Chinese Academy of Agricultural Science,China
"LIU, Chunzhen",China Water Information Centre,China
"LIVERMAN, Diana",University of Oxford,United Kingdom
"LORENZONI, Irene",University of East Anglia,United Kingdom
"LOVE, Geoff",Bureau of Meteorology,Australia
"LOWE, Jason A.",Met Office,United Kingdom
"LU, Xianfu",United Nations Development Programme (UNDP) - GEF,China
"LUCHT, Wolfgang",Potsdam Institute for Climate Impact Research,Germany
"LUNN, Nick",Environment Canada,Canada
"MA, Zhuguo",Chinese Academy of Sciences,China
"MACCRACKEN, Michael C.",Climate Institute,USA
"MACMYNOWSKI, Dena",Stanford University,USA
"MADER, Terry",University of Nebraska,USA
"MAGADZA, Christopher H.D.",University of Zimbabwe,Zimbabwe
"MAGALHAES, Antonio R.",Esquel Group Foundation Brazil (FGEB),Brazil
"MAGRIN, Graciela Odilia",Instituto Nacional de Tecnologia Agropecuaria (INTA),Argentina
"MAJOR, David C.",Columbia University,USA
"MALONE, Elizabeth L.",University of Maryland,USA
"MANN, Susan",Pennsylvania State University,USA
"MARCHANT, Harvey J.",Australian National University,Australia
"MARENGO, Jose",National Institute for Space Research (INPE),Brazil
"MARKANDYA, Anil",World Bank,Italy
"MARTIN, Eric",Météo-France,France
"MASTRANDREA, Michael D.",Stanford University,USA
"MATA, Luis Jose",Nord-Sud Zentrum fur Entwicklungsforschung,Germany
"MCBEAN, Gordon",University of British Columbia,Canada
"MCGREGOR, Glenn",King's College London,United Kingdom
"MCINNES, Kathleen",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"MCLEAN, Roger",University of New South Wales,Australia
"MCMICHAEL, Anthony J.",Australian National University,Australia
"MEARNS, Linda O.",National Center for Atmospheric Research (NCAR),USA
"MEDANY, Mahmoud",Central Laboratory for Agricultural Climate,Egypt
"MEINSHAUSEN, Malte",Potsdam Institute for Climate Impact Research,Germany
"MENNE, Bettina",World Health Organization (WHO),Germany
"MENZEL, Annette",Technical University of Munich,Germany
"MIDGLEY, Guy",National Botanical Institute,South Africa
"MILLER, Kathleen",National Center for Atmospheric Research (NCAR),USA
"MILLS, Evan",Lawrence Berkeley National Laboratory,USA
"MILLS, Scott",University of Montana,USA
"MILLY, Chris",U.S. Geological Survey,USA
"MIMURA, Nobuo",Ibaraki University,Japan
"MINNS, Charles Kenneth",Fisheries and Oceans Canada,Canada
"MIRZA, M. Monirul Qader",Environment Canada,Canada
"MISSELHORN, Alison",University of the Witwatersrand,South Africa
"MOLLER, Henrik",N/A,New Zealand
"MORELLATO, Patricia",Universidade Estadual Paulista,Brazil
"MORENO, Ana Rosa",Universidad Nacional Autonoma de Mexico (UNAM),Mexico
"MORENO, José",University of Castilla - La Mancha,Spain
"MORTON, John",University of Greenwich,United Kingdom
"MORTSCH, Linda",Environment Canada,Canada
"MOSER, Susanne C.",Union of Concerned Scientists,USA
"MOULIK, Tushar",ERM India Pvt,India
"MUIR-WOOD, Robert",Risk Management Solutions,USA
"MURDIYARSO, Daniel",N/A,Indonesia
"NAGY, Gustavo",Universidad de la República,Uruguay
"NAKALEVU, Taito",South Pacific Regional Environment Programme,Fiji
"NEARING, Mark",Southwest Watershed Research Center,USA
"NEILSON, Ron",U.S. Department of Agriculture,USA
"NELSON, Frederick E.",University of Delaware,USA
"NEOFOTIS, Peter",Columbia University,USA
"NIANG-DIOP, Isabelle",University Cheikh Anta Diop of Dakar,Senegal
"NICHOLLS, Robert J.",University of Southampton,United Kingdom
"NIJS, Ivan",N/A,Belgium
"NISHIOKA, Shuzo",Keio University,Japan
"NOBRE, Carlos A.",National Institute for Space Research (INPE),Brazil
"NOVÁKY, Belá",Szent István University,Hungary
"NURSE, Leonard",University of the West Indies,Barbados
"NUTTALL, Mark",University of Alberta,Canada
"NYONG, Anthony",International Development Research Centre,Nigeria
"O'BRIEN, Karen",Center for International Climate and Environment (CICERO),Norway
"O'NEILL, Brian C.",International Institute for Applied Systems Analysis (IIASA),Austria
"O'REILLY, Catherine",Bard College,USA
"OBIOH, Imoh",Obafemi Awolowo University,Nigeria
"OGBONNA, Anthony",Heriot-Watt University,United Kingdom
"OKI, Taikan",University of Tokyo,Japan
"OLESEN, Jørgen",Danish Institute of Agricultural Sciences,Denmark
"ONG, Jin-Eong",N/A,Malaysia
"OPPENHEIMER, Michael",Princeton University,USA
"OSMAN-ELASHA, Balgis",High Council for Environment and Natural Resources (HCENR),Sudan
"OUAGA, Hubert N'Djafa",Centre Régional AGRHYMET,Chad
"PALMER, Gianna",Wesleyan University,USA
"PALUTIKOF, Jean P.",Met Office,United Kingdom
"PARISH, Faizal",Global Environment Centre,Malaysia
"PARRY, Martin",Met Office,United Kingdom
"PATT, Anthony",International Institute for Applied Systems Analysis (IIASA),Austria
"PATWARDHAN, Anand",Indian Institute of Technology Bombay,India
"PATZ, Jonathan",University of Wisconsin,USA
"PAYET, Rolph",Ministry of Industries and International Business,Seychelles
"PEARCE, Tristan",University of Guelph,Canada
"PÊCHEUX, Martin",Université Paris VI Pierre et Marie Curie,France
"PENNY, Guy",National Institute of Water and Atmospheric Research,New Zealand
"PEREZ, Rosa",Philippine Atmospheric Geophysical and Astronomical Services Administration,Philippines
"PFEIFFER, Christopher",Pennsylvania State University,USA
"PFISTER, Christian",University of Bern,Switzerland
"PITTOCK, A. Barrie",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"PRETEL, Jan",N/A,Czech Republic
"PRICE, Jeff",California State University,USA
"PROWSE, Terry D.",Environment Canada,Canada
"PRUDHOMME, Christel",Centre for Ecology and Hydrology at Wallingford,United Kingdom
"PULHIN, Juan",University of the Philippines Los Baños,Philippines
"PULWARTY, Roger",National Oceanographic and Atmospheric Administration (NOAA),USA
"PUNSALMAA, Batima",Institute of Meteorology and Hydrology Mongolia,Mongolia
"RAGOONADEN, Sachooda",Consultant to Indian Ocean Commission,Mauritius
"RAHMAN, Atiq",Bangladesh Centre for Advanced Studies (BCAS),Bangladesh
"RAPER, Sarah C.B.",Manchester Metropolitan University,United Kingdom
"RAWLINS, Samuel",Retired,Trinidad and Tobago
"REEDER, Tim",Environment Agency of Thames,United Kingdom
"REIST, James",Fisheries and Oceans Canada,Canada
"REVICH, Boris",Institute of Forecasting Russian Academy of Science,Russian Federation
"RICHELS, Richard G.",Electric Power Research Institute (EPRI),USA
"ROBINSON, John B.",University of British Columbia,Canada
"RODO, Xavier",University of Barcelona,Spain
"RODRIGUEZ ACEVEDO, Rafael",Universidad Simon Bolivar,Venezuela
"ROMERO LANKAO, Patricia",National Center for Atmospheric Research (NCAR),USA
"ROOT, Terry L.",Stanford University,USA
"ROSE, George",Memorial University of Newfoundland,Canada
"ROSENZWEIG, Cynthia",National Aeronautics and Space Administration (NASA),USA
"ROUNSEVELL, Mark",Université Catholique de Louvain,Belgium
"RUNNING, Steve",University of Montana,USA
"RUOSTEENOJA, Kimmo",Finnish Meteorological Institute,Finland
"RUPP-ARMSTRONG, Susanne",University of Southampton,United Kingdom
"SAFRIEL, Uriel N.",Blaustein Institute for Desert Research,Israel
"SAILOR, David",Portland State University,USA
"SAITO, Yoshiki",National Institute of Advanced Industrial Science and Technology,Japan
"SALIH, Mohamed",N/A,Sudan
"SALINGER, Michael James "Jim"",National Institute of Water and Atmospheric Research,New Zealand
"SATTERTHWAITE, David",International Institute for Environment and Development (IIED),United Kingdom
"SAUNDERS, Mark",University College London,United Kingdom
"SCHMIDHUBER, Josef",Food and Agriculture Organization (FAO),Italy
"SCHNEIDER, Stephen",Stanford University,USA
"SCHULZE, Roland",University of KwaZulu-Natal,South Africa
"SCOTT, Daniel",Environment Canada,Canada
"SCOTT, Michael J.",Pacific Northwest National Laboratory,USA
"SEDJO, Roger",Resources for the Future,USA
"SEGUIN, Bernard",National Institute for Agricultural Research,France
"SEM, Graham",UNFCCC Secretariat,Samoa
"SEMAZZI, Frederick H.M.",North Carolina State University,USA
"SEMENOV, Serguei M.",Institute of Global Climate and Ecology,Russian Federation
"SEN, Zekai",Istanbul Technical University,Turkey
"SENOUCI, Mohamed",Institut Hydrométéorologique de Formation et de Recherches (IHFR),Algeria
"SHARMA, Ashok",Halcrow Consulting India,India
"SHIKLOMANOV, Igor",State Hydrological Institute,Russian Federation
"SHRESHTHA, Arun",Government of Nepal,Nepal
"SHUKLA, Priyadarshi R.",Indian Institute of Management,India
"SHVIDENKO, Anatoly",International Institute for Applied Systems Analysis (IIASA),Austria
"SMIT, Barry",University of Guelph,Canada
"SMITH, Joel B.",Stratus Consulting Inc.,USA
"SMITH, Kirk Robert",University of California Berkeley,USA
"SOLECKI, William",Hunter College,USA
"SOUSSANA, Jean-Francois",National Institute for Agricultural Research,France
"SPARKS, Tim",Centre for Ecology and Hydrology at Wallingford,United Kingdom
"SPENCER, Thomas",University of Cambridge,United Kingdom
"STONE, John M.R.",Environment Canada,Canada
"STREET, Roger B.",N/A,United Kingdom
"STUDD, Kate",Catholic Agency for Overseas Development,United Kingdom
"SUAREZ, Avelino G.",Cuban Environment Agency,Cuba
"SUKUMAR, Raman",N/A,India
"SWEENEY, John",National University of Ireland,Ireland
"TABO, Ramadjita",ICRISAT,Chad
"TAKAHASHI, Kiyoshi",National Institute for Environmental Studies,Japan
"TARAZONA, Juan",Universidad Nacional Mayor de San Marcos,Peru
"TAYLOR, Anna",Stockholm Environment Institute,Sweden
"TEBALDI, Claudia",National Center for Atmospheric Research (NCAR),USA
"THAYYEN, Renoj",Wadia Institute of Himalayan Geology,India
"THOMSON, Madeleine",Columbia University,USA
"THUILLER, Wilfred",Laboratoire d'Ecologie Alpine UMR-CNRS,France
"TIRADO, Christina",N/A,Spain
"TODOROV, Alexander",Princeton University,USA
"TOL, Richard S.J.",Economic and Social Research Institute,Ireland
"TOTH, Ferenc L.",International Atomic Energy Agency (IAEA),Turkey
"TRAVASSO, Maria Isabel",Instituto Nacional de Tecnologia Agropecuaria (INTA),Argentina
"TROTZ, Ulric",Caribbean Community Climate Change Centre,Belize
"TRYJANOWSKI, Piotr",Adam Mickiewicz University,Poland
"TUBIELLO, Francesco",Columbia University,USA
"TURLEY, Carol",Plymouth Marine Laboratory,United Kingdom
"VAN DE GIESEN, Nick",Delft University of Technology,The Netherlands
"VAN MINNEN, Jelle",National Institute for Public Health and the Environment (RIVM),The Netherlands
"VAN SCHAIK, Henk",UNESCO,The Netherlands
"VAN VUUREN, Detlef P.",Netherlands Environmental Assessment Agency,The Netherlands
"VAN YPERSELE, Jean-Pascal",Université Catholique de Louvain,Belgium
"VANDENBERGHE, Jef","Vrije Universiteit,Amsterdam",The Netherlands
"VAUGHAN, David",British Antarctic Survey,United Kingdom
"VELICHKO, Andrei A.",Russian Federation Academy of Sciences,Russian Federation
"VICARELLI, Marta",Columbia University,USA
"VILHJÁLMSSON, Hjalmar",Marine Research Institute,Iceland
"VILLAMIZAR, Alicia",Universidad Simon Bolivar,Venezuela
"VINCENT, Katherine",University of East Anglia,United Kingdom
"VINER, David",University of East Anglia,United Kingdom
"VOGEL, Coleen",University of the Witwatersrand,South Africa
"WA GITHENDU, Mukiri",Ministry of Research Technical Training and Technology,Kenya
"WALSH, John E.",University of Alaska,USA
"WANASINGHE, Y. Dhammika",University of Sri Jayew Ardenepura,Sri Lanka
"WANDEL, Johanna",University of Guelph,Canada
"WARREN, Rachel",University of East Anglia,United Kingdom
"WARRICK, Richard A.",University of Waikato,New Zealand
"WASHINGTON, Richard",University of Oxford,United Kingdom
"WATKINSON, Andrew",N/A,United Kingdom
"WATKISS, Paul",Paul Watkiss Associates,United Kingdom
"WIEGANDT, Ellen",Graduate Institute of International Studies,Switzerland
"WILBANKS, Thomas J.",Oak Ridge National Laboratory,USA
"WILBY, Robert",Environment Agency of England and Wales,United Kingdom
"WOLF, Johanna",University of East Anglia,United Kingdom
"WOLF, Tanja",World Health Organization (WHO),Germany
"WONG, Poh Poh",National University of Singapore,Singapore
"WOODROFFE, Colin",University of Wollongong,Australia
"WOODRUFF, Rosalie",Australian National University,Australia
"WOODWARD, Alistair",University of Auckland,New Zealand
"WRONA, Fred",Environment Canada,Canada
"WU, Qigang",Texas A&M University,USA
"WU, Shaohong",Chinese Academy of Sciences,China
"YAMIN, Farhana",University of Sussex,United Kingdom
"YANDA, Pius",University of Dar-es-Salaam,Tanzania
"YOHE, Gary",Wesleyan University,USA
"ZAPATA-MARTI, Ricardo",UN Economic Commission for LatinAmerican and the Caribbean (ECLAC),Chile
"ZHANG, Qiaomin",South China Sea Institute of Oceanology,China
"ZIERVOGEL, Gina",University of Cape Town,South Africa
"ZILLMAN, John",Bureau of Meteorology,Australia
"ZUREK, Monika",Food and Agriculture Organization (FAO),Italy
