Name,Institution,Country
"CHEN, Minpeng","Institute of Environment and Sustainable Development in Agriculture, CAAS",China
"CHEN, Ji",National Center for Climate Change Strategy and International Cooperation of China,China
"CHEN, A. Anthony",University of the West Indies,Jamaica
"CHOPRA, Kanchan","Formerly, Institute of Economic Growth, Delhi, India",India
"CHRISTOFF, Peter",University of Melbourne,Australia
"CHRISTOPHERSEN, Øyvind",Climate and Pollution Agency,Norway
"CLAPP, Christa",OECD,France
"CLINE, William",Peterson Institute for International Economics,USA
"COBB, Jonathan",World Nuclear Association,UK
"COHEN, Stewart",Environment Canada,Canada
"COHN, Avery","University of California, Berkeley",USA
"COLLARO, Carolina",Venice University,Italy
"COLLIER, Ute",Committee on Climate Change,UK
"COMPSTON, Hugh",Cardiff University,UK
"CONTE GRAND, Mariana",Universidad del CEMA,Argentina
"CORONA, Leonel",National University of Mexico UNAM,Mexico
"COTTER, Janet",Greenpeace Research Laboratories,UK
"COWIE, Annette",University of New England,Australia
"COX, Wendell",Conservatoire National des Arts et Metiers,USA
"CRABBÉ, Philippe",University of Ottawa,Canada
"CRAIG, Michael",Massachusetts Institute of Technology,USA
"CREMADES, Roger",University of Hamburg,Germany
"CREUTZIG, Felix",TU Berlin,Germany
"CRISTINI, Luisa",University of Hawaii,USA
"CSOKNYAI, Tamas",University of Debrecen,Hungary
"CUENOT, François",IEA,France
"D ELIA, Vanesa",Universidad del CEMA,Argentina
"DAGNET, Yamide",World Resources Institute,USA
"D’AGOSTO, Marcio",Universidade Federal do Rio de Janeiro,Brazil
"DALKMANN, Holger",World Resources Institute,USA
"DAVID, Bonilla",University of Oxford,UK
"DAVIDSON, Michael",Massachusetts Institute of Technology,USA
"DAWSON, Richard",Newcastle University,UK
"DE LA VEGA NAVARRO, Angel",National Autonomous University of Mexico,Mexico
"DE SAEDELEER, Bernard",Université catholique de Louvain (UCL),Belgium
"DECANIO, Stephen","University of California, Santa Barbara",USA
"DEMAYO, Trevor",Chevron,USA
"DEMKINE, Volodymyr",UNEP,Kenya
"DEN ELZEN, Michel",PBL Netherlands Environmental Assessment Agency,Netherlands
"DESHPANDE, Abhijeet",United Nations Economic and Social Commission for Asia and the Pacific,Thailand
"DHAR, Subash",UNEP Risoe Centre,Denmark
"DI CARLO QUERO, Isabel Teresa",Ministry of Foreign Affairs,Venezuela
"DI SBROIAVACCA, Nicolas",Fundacion Bariloche,Argentina
"DIAS, Sonia Maria",WIEGO,Brazil
"DIAZ MOREJON, Cristobal Felix","Ministry of Science, Technology and the Environment",Cuba
"DIAZ-RAINEY, Ivan",University of Otago,New Zealand
"DIMITRIU, Delia","Manchester University, Centre for Air, Transport and the Environment",UK
"DINKEL, Jens",Siemens AG,Germany
"DLAMINI, Lindiwe",Ministry of Natural Resources and Energy,Swaziland
"DODDS, Paul",University College London,UK
"DOOLEY, James",Pacific Northwest National Laboratory,USA
"DROEGE, Peter",University of Liechtenstein,Liechtenstein
"DRUCKMAN, Angela",University of Surrey,UK
"DUBASH, Navroz K.",Centre for Policy Research,India
"DUBOIS, Ghislain",University of Versailles,France
"EBI, Kristie","ClimAdapt, LLC",USA
"ECKERSLEY, Robyn",University of Melbourne,Australia
"EICKEMEIER, Dominik",Heuking Kühn Lüer Wojtek,Germany
"EICKEMEIER, Patrick",IPCC WG III TSU,Germany
"EKHOLM, Tommi",VTT Technical Research Centre of Finland,Finland
"ELLERMAN, Denny",European University Institute,USA
"ELLIS, Jane",OECD,France
"ESASHI, Kei",Federation of Electric Power Companies,Japan
"FAN, Yunzhi","China Classification Society, Ministry of Transport, P. R. China",China
"FARAGO, Tibor",St. Istvan University,Hungary
"FARBER, Daniel","University of California, Berkeley",USA
"FENG, Kuishuang",University of Maryland College Park,USA
"FENG, Xiangzhao",Policy Research Center for Environment and Economy of the Ministry of Environmental Protection,China
"FENNELL, Paul",Imperial College,UK
"FERNANDEZ, Lucia",WIEGO,Uruguay
"FERRONE, Andrew",Public Research Centre - Gabriel Lippmann,Luxembourg
"FIELD, Brad",GNS Science,New Zealand
"FIGUEROA MEZA, Maria Josefina",Technical University of Denmark,Denmark
"FINKENRATH, Matthias",University of Applied Sciences Kempten,Germany
"FINNEGAN, Pat",Grian,Ireland
"FINNVEDEN, Göran",KTH Royal Institute of Technology,Sweden
"FISCHEDICK, Manfred","Wuppertal Institute for Climate, Environment, Energy",Germany
"FISHER, Nicole",Anglo American Thermal Coal,South Africa
"FLACHSLAND, Christian",MCC Berlin,Germany
"FLAMMINI, Alessandro",University of Camerino; Vienna University of Technology; FAO of the UN,Italy
"FLEMING, James",Colby College,USA
"FORD-ROBERTSON, Justin",FR Initiatives,New Zealand
"FRANZESE, Pier Paolo",Parthenope University of Naples,Italy
"FU, Sha",National Center for Climate Change Strategy and International Cooperation,China
"FUESSLER, Juerg",INFRAS,Switzerland
"FUGLESTVEDT, Jan",CICERO,Norway
"FUJIWARA, Noriko",Centre for European Policy Studies,Belgium
"FURUKAWA, Tomifuku","Shikoku Electric Power Co., Inc",Japan
"FUTAMURA, Mariko",Tokyo Woman’s Christian University,Japan
"GALLAGHER, Glenn",California Air Resources Board,USA
"GALLOWAY MCLEAN, Kirsty",United Nations University,Australia
"GAO, Xiang","Energy Research Institute, National Development and Reform Commission",China
"GAO, Hairan",National Center for Climate Change Strategic Study and International Cooperation,China
"GARCIA, Javier Antonio","Ministry of Environment, Chile",Chile
"GARDINER, Stephen",University of Washington,USA
"GARRIDO VAZQUEZ, Raul Gorge","Ministry of Science, Technology and Environment",Cuba
"GENCHI, Yutaka",National Institute of Advanced Industrial Science and Technology (AIST),Japan
"GHEEWALA, Shabbir",The Joint Graduate School of Energy and Environment,Thailand
"GIBSON, Georgina",Ricardo-AEA,UK
"GIRAUDET, Louis-Gaëtan",Stanford University,USA
"GLEDITSCH, Nils Petter",Peace Research Institute Oslo (PRIO),Norway
"GODFREY, Carlos",Independent Consultant,Colombia
"GOHEER, Muhammad Arif",Global Change Impact Studies Centre (GCISC),Pakistan
"GOLDTHAU, Andreas",Central European University,Hungary
"GOLUBIEWSKI, Nancy",Ministry for the Environment,New Zealand
"GONTIJO, Alexandre",Promove College,Brazil
"GONZALEZ, Patrick",U. S. National Park Service,USA
"GONZALEZ-GARCIA, Andres",Institute for Research in Technology (IIT) - Comillas Pontifical University,Spain
"GÖSSLING, Stefan",Lund University,Sweden
"GOTA, Sudhir",CAI Asia,India
"GOTTSCHICK, Manuel",University of Hamburg,Germany
"GRASSO, Marco",University of Milan-Bicocca,Italy
"GRAY, Vincent",Gray Associates,New Zealand
"GREAVES, Hilary",University of Oxford,UK
"GREEN, Richard",Imperial College London,UK
"GREGORY, Robin",Decision Research,Canada
"GRIGGS, David",Monash University,Australia
"GROSSMANN, Iris",Carnegie Mellon University,USA
"GROSSO, Mario",Politecnico di Milano,Italy
"GRUBB, Michael",Cambridge University,UK
"GUENDEHOU, Sabin",Benin Centre for Scientific and Technical Research,Benin
"GUNDERMANN, Bernd",Stephenson&Turner New Zealand,New Zealand
"GÜNTHER, Edeltraud Martha",Technische Universität Dresden,Germany
"GUPTA, Vijaya",National Institute of Industrial Engineering,India
"GUTOWSKI, Timothy",Massachusetts Institute of Technology,USA
"GYTARSKY, Michael",Institute of Global Climate and Ecology,Russian Federation
"HAAS, Peter",University of Massachusetts,USA
"HAEFELI-HESTVIK, Susanne",Tricorona,Sweden
"HAINES, Andy",London School of Hygiene and Tropical Medicine,UK
"HAITES, Erik",Margaree Consultants Inc.,Canada
"HAKALA, Kaija",MTT Agrifood Research Finland,Finland
"HALLSTROM, Lars",University of Alberta,Canada
"HAMILTON, Kirsty",Chatham House,UK
"HANAOKA, Tatsuya",National Institute for Environmental Studies,Japan
"HARA, Kiyoshi",Japan Polyurethane Industries Institute,Japan
"HARGREAVES, Anthony",University of Cambridge,UK
"HARSDORFF, Marek",ILO,Switzerland
"HARSTAD, Bård",University of Oslo,Norway
"HARVEY, Danny",University of Toronto,Canada
"HASANBEIGI, Ali",Lawrence Berkeley National Laboratory,USA
"HASEGAWA, Masayo",Toyota Motor Corporation,Japan
"HAXTHAUSEN, Eric",Ecologic Institute,USA
"HAYASHI, Ayami",Research Institute of Innovative Technology for the Earth (RITE),Japan
"HAYWARD, Philip",Demographia,New Zealand
"HEBERTO, Montiel",Corpoelec,Venezuela
"HEINONEN, Jukka",Aalto University,Finland
"HEITZIG, Jobst",PIK,Germany
"HEKKENBERG, Michiel",Energy Research Centre of the Netherlands,Netherlands
"HERTWICH, Edgar",Norwegian University of Science and Technology,Norway
"HEUTTE, Fred",Sierra Club,USA
"HIRTH, Lion",Vattenfall Europe AG,Germany
"HODAS, David",Widener University School of Law,USA
"HOFFMANN, Matthew",University of Toronto,Canada
"HOHMEYER, Olav",Universität Flensburg,Germany
"HÖLLER, Samuel",Wuppertal Institute,Germany
"HOLTSMARK, Bjart",Statistics Norway,Norway
"HOMMA, Takashi",Research Institute of Innovative Technology for the Earth (RITE),Japan
"HONGO, Seiji","Electric Power Development Co., Ltd.",Japan
"HONGO, Takashi",Mitsui Global Strategic Studies Institute,Japan
"HORSTMANN, Britta",German Development Institute / Deutsches Institut für Entwicklungspolitik (DIE),Germany
"HOSHINO, Yuko",Central Research Institute of Electric Power Industry,Japan
"HOUSE, Jo","University of Bristol,",UK
"HOUSER, Trevor",Peterson Institute for International Economics,USA
"HU, Guoquan",National Climate Center of CMA,China
"HU, Shan",Tsinghua University,China
"HUGHES, Hannah",Aberystwyth University,UK
"HUGHES, Patrick",Oak Ridge National Laboratory,USA
"HYAMS, Keith",University of Reading,UK
"ICHINOSE, Toshiaki",National Institute for Environmental Studies / Nagoya University,Japan
"IEHARA, Toshiro",Forestry and Forest Products Research Institute,Japan
"INOUE, Keisuke","Tokyo Electric Power CO., Inc.",Japan
"IQBAL, Muhammad Mohsin",Global Change Impact Studies Centre,Pakistan
"IRIARTE, Leyre",IINAS- International Institute for Sustainability Analysis and Strategy,Spain
"ISMAWATI, Yuyun",BALIFOKUS / GAIA,Indonesia
"ITOU, Ayumu","Kyushu Electric Power Co., Inc.",Japan
"IVERSON, Louis",US Forest Service,USA
"IWATA, Noriyasu",Hokuriku Electric Power Company,Japan
"IZUMO, Yoshito",Japan Cement Association,Japan
"JÄGER-WALDAU, Arnulf","European Commission, DG JRC",Italy
"JAMEA, El Mostafa",German ProfEC GmbH,Morocco
"JAMIESON, Dale",New York University,USA
"JAMIESON, Sirinath",Biosustainable Design,UK
"JAYARAMAN, Thiagarajan",Tata Institute of Social Sciences,India
"JEFFERSON, Michael",London Metropolitan Business School,UK
"JENKINS, Jesse",Massachusetts Institute of Technology,USA
"JENNER, Samantha",University of Cape Town,South Africa
"JEON, Eui-Chan",Sejong University,Republic of Korea
"JIAJUN, Wen",Chinese Academy of Social Sciences,Germany
"JIMENEZ CHAVES, Roberto",Shell,Netherlands
"JOFFE, David",UK Committee on Climate Change,UK
"JOFFE, Paul",World Resources Institute,USA
"JOHANSSON, Daniel",Chalmers University of Technology,Sweden
"JOHNSON, Tana",Duke University,USA
"JONASSEN, Rachael",The George Washington University,USA
"JONES, Ceris",National Farmers Union,UK
"JORGE, Olcina",University of Alicante,Spain
"JOTZO, Frank",Australian National University,Australia
"KADNER, Susanne",IPCC WG III TSU,Germany
"KAINUMA, Mikiko",National Institute for Environmental Studies,Japan
"KALLBEKKEN, Steffen",CICERO Center for International Climate and Environmental Research - Oslo,Norway
"KALLHOFF, Angela","University of Vienna, Austria",Austria
"KANAMARU, Hideki",FAO,Italy
"KANEKO, Hiroyuki",International Energy Agency,France
"KANEKO, Shinji",Forestry and Forest Products Research Institute,Japan
"KANEMOTO, Keiichiro",Tohoku University,Japan
"KANOAN, Gorashi",Ministry of Environment and Climate Affairs,Sudan
"KANT, Promode",Institute of Green Economy,India
"KARLSSON, Henrik",Biorecro,Sweden
"KARTHA, Sivan",Stockholm Environment Institute,USA
"KARUPPIAH, Ramkumar",ExxonMobil Research and Engineering,USA
"KASSAM, Karim-Aly",Cornell University,USA
"KATAYAMA, Hidefumi",Institute for Global Environmental Strategies,Japan
"KATBEH-BADER, Nedal",Ministry of Environment Affairs (MEnA),State of Palestine
"KATO, Makoto","Overseas Environmental Cooperation Center, Japan (OECC)",Japan
"KATZ, Jonathan",Washington University,USA
"KAWAGISHI, Shunsuke",Mitsubishi Research institute,Japan
"KAWAMATA, Hiromi",The Japan Iron and Steel Federation,Japan
"KAYA, Yoichi",Research Institute of Innovative Technology for the Earth (RITE),Japan
"KAZUNO, Hirofumi","The Kansai Electric Power Co., Inc.",Japan
"KEAY, Malcolm",Oxford Institute for Energy Studies,UK
"KELLER, Sina",Karlsruhe Institute of Technology,Germany
"KENDALL, Alissa","University of California, Davis",USA
"KENJI, Asano",Central Research Institute of Electric Power Industry,Japan
"KENNEDY, Christopher",University of Toronto,Canada
"KEOHANE, Robert",Princeton University,USA
"KEPPO, Ilkka",University College London,UK
"KHENNAS, Smail",Senior Energy and Climate Change Expert,UK
"KHESHGI, Haroon",ExxonMobil Corporate Strategic Research,USA
"KHOR, Martin Kok Peng",South Centre,Switzerland
"KIENBERGER, Stefan",University of Salzburg,Austria
"KIMAMBO, Abiliza",Sokoine University of Agriculture,Tanzania
"KING, Robin",EMBARQ,USA
"KIRKELS, Mark",Mobycon consultancy,Netherlands
"KISHIMOTO-MO, W. Ayaka",National Institute for Agro-Environmental Sciences,Japan
"KISHWAN, Jagdish",Indian Forest Service,India
"KIYOSHI, Saito",The Japan Electrical Manufacturers\’ Association,Japan
"KJAER, Christian",European Wind Energy Association,Belgium
"KLEMICK, Heather",US EPA,USA
"KLESSMANN, Corinna",Ecofys Germany,Germany
"KLINSKY, Sonja",University of Cambridge,UK
"KLÖCKNER, Christian",NTNU,Norway
"KLØVERPRIS, Jesper",Novozymes,Denmark
"KNOPF, Brigitte",Potsdam-Institute for Climate Impact Research,Germany
"KNOWLTON, Kim","Natural Resources Defense Council; and Mailman SPH, Columbia University",USA
"KOBAYASHI, Shigeki","Toyota R&D Labs., Inc.",Japan
"KOCKELMAN, Kara",University of Texas at Austin,USA
"KOLSTAD, Charles",Stanford University,USA
"KOMATSU, Hidenori",Central Research Institute of Electric Power Industry,Japan
"KOMIYAMA, Ryoichi",University of Tokyo,Japan
"KONISHI, Masako",WWF Japan,Japan
"KOOMEY, Jonathan",Stanford University,USA
"KÖPKE, Sören","Technical University Braunschweig, Germany",Germany
"KOPONEN, Kati",VTT Technical Research Centre,Finland
"KÖPPL, Angela",Austrian Institute of Economic Research (WIFO),Austria
"KORHONEN, Hannele",Finnish Meteorological Institute,Finland
"KÖRNER, Alexander",International Energy Agency,France
"KOSONEN, Kaisa",Greenpeace International,Finland
"KÖSSLER, Georg Philipp",Heinrich-Böll-Stiftung,Germany
"KOTAKE, Tadashi","Japan Automobile Manufacturers Association, Inc.",Japan
"KOTHARKAR, Rajashree","Visvesvaraya National Institute of Technology, Nagpur, Maharashtra",India
"KOTTMEIER, Christoph",Karlsruhe Institute of Technology,Germany
"KOUAZOUNDE, Bamikole Jacques",University of Calavi,Benin
"KOUBI, Vally",University of Bern,Switzerland
"KRAVITZ, Ben",Pacific Northwest National Laboratory,USA
"KREUZER, Michael",ETH Zurich,Switzerland
"KRISTOFERSON, Lars",Biorecro,Sweden
"KUIPERS, James",Life Sciences faculty,Netherlands
"KUNREUTHER, Howard","Wharton School, University of Pennsylvania",USA
"KURAMOCHI, Takeshi",Institute for Global Environmental Strategies,Japan
"KUROSAWA, Atsushi",The Institute of Applied Energy,Japan
"KUTSCHER, Charles (Chuck)",NREL,USA
"KYTE, William",E.ON AG; Eurelectric; UK Emissions Trading Group; International Electricity Partnership,UK
"LA BRANCHE, Stéphane",Institute of Political Studies,France
"LABRIET, Maryse",Eneris Environment Energy Consultants,Spain
"LACHAPELLE, Erick",Université de Montréal,Canada
"LAKO, Paul",ECN,Netherlands
"LAMANNA, Morgan",Institutional Investors Group on Climate Change (IIGCC),UK
"LAMBRECHT, Jesse",Ghent University,Belgium
"LAMERS, Patrick",Utrecht University,Germany
"LAMPINEN, Ari",Strömstad Akademy,Finland
"LANDUYT, William",ExxonMobil Research and Engineering,USA
"LANE, Lee",Hudson Institute,USA
"LANE, Tracy",International Hydropower Association,UK
"LANE, Tracy",International Hydropower Association,UK
"LANGNISS, Ole",FICHTNER GmbH & Co KG,Germany
"LANZENDORF, Martin",Goethe University Frankfurt,Germany
"LARSEN, Kate",U. S. Department of State,USA
"LASTOVICKA, Jan",Institute of Atmospheric Physics,Czech Republic
"LAWRENCE, Deborah",University of Virginia,USA
"LE NÉCHET, Florent",Université Paris-Est Marne-la-Vallée,France
"LEAHY, Kevin",Duke Energy,USA
"LEAL, Walter",HAW Hamburg,Germany
"LECOCQ, Noé",Inter-Environnement Wallonie,Belgium
"LEE, Arthur",Chevron Corporation,USA
"LEE, Sai-ming",Hong Kong Observatory,China
"LEMPERT, Robert",RAND,USA
"LEONARDI, Jacques",University of Westminster,UK
"LEONG, Yow Peng",University Tegana Nasional,Malaysia
"LESSMANN, Kai",Potsdam Institute for Climate Impact Research,Germany
"LEVI, Michael",Council on Foreign Relations,USA
"LEVY, Yair",University of Oxford,UK
"LEWIS, Joanna",Georgetown University,USA
"LEWITT, Mark",Lewitt Consulting,UK
"LEYLAND, Bryan",Leyland Consultants,New Zealand
"LI, Ting","Climate Policy Initiative Tsinghua University, China",China
"LIFSET, Reid",Yale University,USA
"LIMMEECHOKCHAI, Bundit",International Institute of Technology,Thailand
"LING, Eric",Committee on Climate Change,UK
"LING, Frank",Ibaraki University,Japan
"LIU, Changsong",National Climate Strategy and International Cooperation Center (NCSC),China
"LIU, Gang",China Institute Of Building Standard Design & Research (CIBSDR),China
"LLANES-REGUEIRO, Juan",Havana University,Cuba
"LOTZE-CAMPEN, Hermann",Potsdam Institute for Climate Impact Research (PIK),Germany
"LUBINSKY, Pesach",US Department of Agriculture,USA
"LUCAS, Paul",PBL Netherlands Environmental Assessment Agency,Netherlands
"LUCON, Oswaldo",São Paulo State Environment Secretariat,Brazil
"LUDERER, Gunnar",Potsdam Institute for Climate Impact Research,Germany
"LUHMANN, Hans-Jochen","Wuppertal Institute for Climate, Energy and Environment",Germany
"LUMBRERAS, Julio",Technical University of Madrid (UPM),Spain
"LUND, Marianne Tronstad",CICERO,Norway
"MACALUSO, Nicolo",Environment Canada,Canada
"MACDONALD, James Dougals",Environment Canada,Canada
"MACEY, Adrian",Victoria University of Wellington,New Zealand
"MAEDA, Ichiro",The Federation of Electric Power Companies of Japan,Japan
"MALJEAN-DUBOIS, Sandrine",CNRS,France
"MALLETT, Alexandra",Carleton University,Canada
"MANNING, Martin",NZ Climate Change Research Institute,New Zealand
"MANO, Hiroshi",Research Institute of Innovative Technology for the Earth,Japan
"MARBAIX, Philippe",Université catholique de Louvain,Belgium
"MARCHAL, Virginie",OECD,France
"MARKUSSON, Nils",University of Oxford,UK
"MARTENS, Karel",Radboud Universiteit Nijmegen,Netherlands
"KOWARSCH, Martin","(MCC), Berlin",Germany
"MARUYAMA, Koki",Central Research Institute of Electric Power Industry (CRIEPI),Japan
"MASON, Ian",University of Canterbury,New Zealand
"MASSETTI, Emanuele",Fondazione Eni Enrico Mattei (FEEM) and CMCC,Italy
"MASSMAN, William",USDA Forest Service,USA
"MATSUMOTO, Mitsuo","Forestry and Forest Products Research Institute, Japan",Japan
"MATSUMOTO, Naoko",Institute for Global Environmental Strategies,Japan
"MATSUNO, Taroh",Japan Agency for Marine-Earth Science and Technology,Japan
"MATTAUCH, Linus",Mercator Institute of Global Commons and Climate Change,Germany
"MBOW, Cheikh",University Cheikh Anta Diop of Dakar,Kenya
"MCCARL, Bruce",Texas A&M,USA
"MCGREGOR, Peter",University of Strathclyde,UK
"MCKINNON, Catriona",University of Reading,UK
"MEASON, Dean",Scion (New Zealand Forest Research Institute),New Zealand
"MEDDINGS, Nina",Committee on Climate Change,UK
"MEHLING, Michael",Ecologic Institute,USA
"MENDEZ, Carlos",Instituto Venezolano de Investigaciones Científicas IVIC,Venezuela
"MENNE, Bettina",WHO,Italy
"METCALF, Gilbert",Tufts University,USA
"MEYER, Ina",Austrian Institute of Economic Research (WIFO),Austria
"MEYER, Leo",IPCC TSU Synthesis report,Netherlands
"MEYER-AURICH, Andreas",Leibniz-Institute for Agricultural Engineering Potsdam-Bornim,Germany
"MEZGEBE, Alemayehu Hailemicael",Arba Minch University,Ethiopia
"MICHAELOWA, Axel",University of Zurich,Switzerland
